chr|end|exon_id|exon_number|gene_id|id|source|source_url|start|transcript_id
chr1|11671|ENSE00004248710|1|ENSEMBL:ENSG00000290825|ENSE00004248710|GENCODE|https://www.gencodegenes.org/human/|11411|ENSEMBL:ENST00000832827
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832827
chr1|12721|ENSE00003582793|3|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832827
chr1|14413|ENSE00004248694|4|ENSEMBL:ENSG00000290825|ENSE00004248694|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832827
chr1|11671|ENSE00004248702|1|ENSEMBL:ENSG00000290825|ENSE00004248702|GENCODE|https://www.gencodegenes.org/human/|11426|ENSEMBL:ENST00000832828
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832828
chr1|12721|ENSE00003582793|3|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832828
chr1|14409|ENSE00004248703|4|ENSEMBL:ENSG00000290825|ENSE00004248703|GENCODE|https://www.gencodegenes.org/human/|13221|ENSEMBL:ENST00000832828
chr1|11844|ENSE00004248719|1|ENSEMBL:ENSG00000290825|ENSE00004248719|GENCODE|https://www.gencodegenes.org/human/|11770|ENSEMBL:ENST00000832829
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832829
chr1|12721|ENSE00003582793|3|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832829
chr1|14416|ENSE00004248715|4|ENSEMBL:ENSG00000290825|ENSE00004248715|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832829
chr1|11844|ENSE00004248695|1|ENSEMBL:ENSG00000290825|ENSE00004248695|GENCODE|https://www.gencodegenes.org/human/|11819|ENSEMBL:ENST00000832830
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832830
chr1|12697|ENSE00004248728|3|ENSEMBL:ENSG00000290825|ENSE00004248728|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832830
chr1|14413|ENSE00004248694|4|ENSEMBL:ENSG00000290825|ENSE00004248694|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832830
chr1|11844|ENSE00004248717|1|ENSEMBL:ENSG00000290825|ENSE00004248717|GENCODE|https://www.gencodegenes.org/human/|11823|ENSEMBL:ENST00000832837
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832837
chr1|12721|ENSE00004248693|3|ENSEMBL:ENSG00000290825|ENSE00004248693|GENCODE|https://www.gencodegenes.org/human/|12595|ENSEMBL:ENST00000832837
chr1|14406|ENSE00004248696|4|ENSEMBL:ENSG00000290825|ENSE00004248696|GENCODE|https://www.gencodegenes.org/human/|13221|ENSEMBL:ENST00000832837
chr1|11844|ENSE00004248709|1|ENSEMBL:ENSG00000290825|ENSE00004248709|GENCODE|https://www.gencodegenes.org/human/|11824|ENSEMBL:ENST00000832836
chr1|12697|ENSE00004248701|2|ENSEMBL:ENSG00000290825|ENSE00004248701|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832836
chr1|14409|ENSE00004248699|3|ENSEMBL:ENSG00000290825|ENSE00004248699|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832836
chr1|11844|ENSE00004248709|1|ENSEMBL:ENSG00000290825|ENSE00004248709|GENCODE|https://www.gencodegenes.org/human/|11824|ENSEMBL:ENST00000832832
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832832
chr1|12721|ENSE00003582793|3|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832832
chr1|14413|ENSE00004248705|4|ENSEMBL:ENSG00000290825|ENSE00004248705|GENCODE|https://www.gencodegenes.org/human/|13487|ENSEMBL:ENST00000832832
chr1|11844|ENSE00004248709|1|ENSEMBL:ENSG00000290825|ENSE00004248709|GENCODE|https://www.gencodegenes.org/human/|11824|ENSEMBL:ENST00000832833
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832833
chr1|12721|ENSE00004248712|3|ENSEMBL:ENSG00000290825|ENSE00004248712|GENCODE|https://www.gencodegenes.org/human/|12646|ENSEMBL:ENST00000832833
chr1|14413|ENSE00004248694|4|ENSEMBL:ENSG00000290825|ENSE00004248694|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832833
chr1|11844|ENSE00004248709|1|ENSEMBL:ENSG00000290825|ENSE00004248709|GENCODE|https://www.gencodegenes.org/human/|11824|ENSEMBL:ENST00000832831
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832831
chr1|12721|ENSE00004248693|3|ENSEMBL:ENSG00000290825|ENSE00004248693|GENCODE|https://www.gencodegenes.org/human/|12595|ENSEMBL:ENST00000832831
chr1|14416|ENSE00004248715|4|ENSEMBL:ENSG00000290825|ENSE00004248715|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832831
chr1|11844|ENSE00004248714|1|ENSEMBL:ENSG00000290825|ENSE00004248714|GENCODE|https://www.gencodegenes.org/human/|11825|ENSEMBL:ENST00000832834
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832834
chr1|12697|ENSE00004248728|3|ENSEMBL:ENSG00000290825|ENSE00004248728|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832834
chr1|14413|ENSE00004248705|4|ENSEMBL:ENSG00000290825|ENSE00004248705|GENCODE|https://www.gencodegenes.org/human/|13487|ENSEMBL:ENST00000832834
chr1|11844|ENSE00004248716|1|ENSEMBL:ENSG00000290825|ENSE00004248716|GENCODE|https://www.gencodegenes.org/human/|11828|ENSEMBL:ENST00000832835
chr1|12227|ENSE00004248735|2|ENSEMBL:ENSG00000290825|ENSE00004248735|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000832835
chr1|12721|ENSE00003582793|3|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832835
chr1|14416|ENSE00004248700|4|ENSEMBL:ENSG00000290825|ENSE00004248700|GENCODE|https://www.gencodegenes.org/human/|13453|ENSEMBL:ENST00000832835
chr1|12227|ENSE00004248708|1|ENSEMBL:ENSG00000290825|ENSE00004248708|GENCODE|https://www.gencodegenes.org/human/|11845|ENSEMBL:ENST00000832839
chr1|12721|ENSE00004248712|2|ENSEMBL:ENSG00000290825|ENSE00004248712|GENCODE|https://www.gencodegenes.org/human/|12646|ENSEMBL:ENST00000832839
chr1|14417|ENSE00004248698|3|ENSEMBL:ENSG00000290825|ENSE00004248698|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832839
chr1|12227|ENSE00004248734|1|ENSEMBL:ENSG00000290825|ENSE00004248734|GENCODE|https://www.gencodegenes.org/human/|11847|ENSEMBL:ENST00000832841
chr1|12697|ENSE00004248728|2|ENSEMBL:ENSG00000290825|ENSE00004248728|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832841
chr1|14415|ENSE00004248711|3|ENSEMBL:ENSG00000290825|ENSE00004248711|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832841
chr1|12227|ENSE00004248734|1|ENSEMBL:ENSG00000290825|ENSE00004248734|GENCODE|https://www.gencodegenes.org/human/|11847|ENSEMBL:ENST00000832840
chr1|12721|ENSE00004248693|2|ENSEMBL:ENSG00000290825|ENSE00004248693|GENCODE|https://www.gencodegenes.org/human/|12595|ENSEMBL:ENST00000832840
chr1|14416|ENSE00004248715|3|ENSEMBL:ENSG00000290825|ENSE00004248715|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832840
chr1|12227|ENSE00004248734|1|ENSEMBL:ENSG00000290825|ENSE00004248734|GENCODE|https://www.gencodegenes.org/human/|11847|ENSEMBL:ENST00000832838
chr1|12721|ENSE00003582793|2|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832838
chr1|14421|ENSE00004248724|3|ENSEMBL:ENSG00000290825|ENSE00004248724|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832838
chr1|12227|ENSE00004248733|1|ENSEMBL:ENSG00000290825|ENSE00004248733|GENCODE|https://www.gencodegenes.org/human/|11850|ENSEMBL:ENST00000832842
chr1|12697|ENSE00004248728|2|ENSEMBL:ENSG00000290825|ENSE00004248728|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832842
chr1|14410|ENSE00004248722|3|ENSEMBL:ENSG00000290825|ENSE00004248722|GENCODE|https://www.gencodegenes.org/human/|13487|ENSEMBL:ENST00000832842
chr1|12227|ENSE00004248733|1|ENSEMBL:ENSG00000290825|ENSE00004248733|GENCODE|https://www.gencodegenes.org/human/|11850|ENSEMBL:ENST00000456328
chr1|12721|ENSE00003582793|2|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000456328
chr1|14416|ENSE00004248731|3|ENSEMBL:ENSG00000290825|ENSE00004248731|GENCODE|https://www.gencodegenes.org/human/|13221|ENSEMBL:ENST00000456328
chr1|12227|ENSE00004248727|1|ENSEMBL:ENSG00000290825|ENSE00004248727|GENCODE|https://www.gencodegenes.org/human/|11854|ENSEMBL:ENST00000832845
chr1|12697|ENSE00004248728|2|ENSEMBL:ENSG00000290825|ENSE00004248728|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832845
chr1|14410|ENSE00004248713|3|ENSEMBL:ENSG00000290825|ENSE00004248713|GENCODE|https://www.gencodegenes.org/human/|13403|ENSEMBL:ENST00000832845
chr1|12227|ENSE00004248727|1|ENSEMBL:ENSG00000290825|ENSE00004248727|GENCODE|https://www.gencodegenes.org/human/|11854|ENSEMBL:ENST00000832843
chr1|12721|ENSE00004248693|2|ENSEMBL:ENSG00000290825|ENSE00004248693|GENCODE|https://www.gencodegenes.org/human/|12595|ENSEMBL:ENST00000832843
chr1|14413|ENSE00004248704|3|ENSEMBL:ENSG00000290825|ENSE00004248704|GENCODE|https://www.gencodegenes.org/human/|13565|ENSEMBL:ENST00000832843
chr1|12227|ENSE00004248727|1|ENSEMBL:ENSG00000290825|ENSE00004248727|GENCODE|https://www.gencodegenes.org/human/|11854|ENSEMBL:ENST00000832844
chr1|12697|ENSE00004248728|2|ENSEMBL:ENSG00000290825|ENSE00004248728|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832844
chr1|14413|ENSE00004248730|3|ENSEMBL:ENSG00000290825|ENSE00004248730|GENCODE|https://www.gencodegenes.org/human/|13453|ENSEMBL:ENST00000832844
chr1|12227|ENSE00004248707|1|ENSEMBL:ENSG00000290825|ENSE00004248707|GENCODE|https://www.gencodegenes.org/human/|11883|ENSEMBL:ENST00000832847
chr1|12721|ENSE00004248725|2|ENSEMBL:ENSG00000290825|ENSE00004248725|GENCODE|https://www.gencodegenes.org/human/|12497|ENSEMBL:ENST00000832847
chr1|14413|ENSE00004248729|3|ENSEMBL:ENSG00000290825|ENSE00004248729|GENCODE|https://www.gencodegenes.org/human/|13403|ENSEMBL:ENST00000832847
chr1|12227|ENSE00004248707|1|ENSEMBL:ENSG00000290825|ENSE00004248707|GENCODE|https://www.gencodegenes.org/human/|11883|ENSEMBL:ENST00000832846
chr1|12721|ENSE00003582793|2|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832846
chr1|14414|ENSE00004248706|3|ENSEMBL:ENSG00000290825|ENSE00004248706|GENCODE|https://www.gencodegenes.org/human/|13453|ENSEMBL:ENST00000832846
chr1|12456|ENSE00004248732|1|ENSEMBL:ENSG00000290825|ENSE00004248732|GENCODE|https://www.gencodegenes.org/human/|12259|ENSEMBL:ENST00000832848
chr1|12721|ENSE00003582793|2|ENSEMBL:ENSG00000290825|ENSE00003582793|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000832848
chr1|14407|ENSE00004248736|3|ENSEMBL:ENSG00000290825|ENSE00004248736|GENCODE|https://www.gencodegenes.org/human/|13483|ENSEMBL:ENST00000832848
chr1|12697|ENSE00004248692|1|ENSEMBL:ENSG00000290825|ENSE00004248692|GENCODE|https://www.gencodegenes.org/human/|12524|ENSEMBL:ENST00000832849
chr1|14410|ENSE00004248713|2|ENSEMBL:ENSG00000290825|ENSE00004248713|GENCODE|https://www.gencodegenes.org/human/|13403|ENSEMBL:ENST00000832849
chr1|14764|ENSE00004248697|1|ENSEMBL:ENSG00000290825|ENSE00004248697|GENCODE|https://www.gencodegenes.org/human/|14404|ENSEMBL:ENST00000832823
chr1|24894|ENSE00004248718|2|ENSEMBL:ENSG00000290825|ENSE00004248718|GENCODE|https://www.gencodegenes.org/human/|24846|ENSEMBL:ENST00000832823
chr1|12057|ENSE00001948541|1|ENSEMBL:ENSG00000223972|ENSE00001948541|GENCODE|https://www.gencodegenes.org/human/|12010|ENSEMBL:ENST00000450305
chr1|12227|ENSE00001671638|2|ENSEMBL:ENSG00000223972|ENSE00001671638|GENCODE|https://www.gencodegenes.org/human/|12179|ENSEMBL:ENST00000450305
chr1|12697|ENSE00001758273|3|ENSEMBL:ENSG00000223972|ENSE00001758273|GENCODE|https://www.gencodegenes.org/human/|12613|ENSEMBL:ENST00000450305
chr1|13052|ENSE00001799933|4|ENSEMBL:ENSG00000223972|ENSE00001799933|GENCODE|https://www.gencodegenes.org/human/|12975|ENSEMBL:ENST00000450305
chr1|13374|ENSE00001746346|5|ENSEMBL:ENSG00000223972|ENSE00001746346|GENCODE|https://www.gencodegenes.org/human/|13221|ENSEMBL:ENST00000450305
chr1|13670|ENSE00001863096|6|ENSEMBL:ENSG00000223972|ENSE00001863096|GENCODE|https://www.gencodegenes.org/human/|13453|ENSEMBL:ENST00000450305
chr1|15105|ENSE00004246312|1|ENSEMBL:ENSG00000310526|ENSE00004246312|GENCODE|https://www.gencodegenes.org/human/|14970|ENSEMBL:ENST00000831746
chr1|14829|ENSE00004246449|2|ENSEMBL:ENSG00000310526|ENSE00004246449|GENCODE|https://www.gencodegenes.org/human/|14356|ENSEMBL:ENST00000831746
chr1|29345|ENSE00004246411|1|ENSEMBL:ENSG00000310526|ENSE00004246411|GENCODE|https://www.gencodegenes.org/human/|29321|ENSEMBL:ENST00000831201
chr1|24891|ENSE00004246250|2|ENSEMBL:ENSG00000310526|ENSE00004246250|GENCODE|https://www.gencodegenes.org/human/|24738|ENSEMBL:ENST00000831201
chr1|19075|ENSE00004246375|3|ENSEMBL:ENSG00000310526|ENSE00004246375|GENCODE|https://www.gencodegenes.org/human/|18913|ENSEMBL:ENST00000831201
chr1|18366|ENSE00004246412|4|ENSEMBL:ENSG00000310526|ENSE00004246412|GENCODE|https://www.gencodegenes.org/human/|18268|ENSEMBL:ENST00000831201
chr1|18061|ENSE00004246474|5|ENSEMBL:ENSG00000310526|ENSE00004246474|GENCODE|https://www.gencodegenes.org/human/|17915|ENSEMBL:ENST00000831201
chr1|17742|ENSE00004246594|6|ENSEMBL:ENSG00000310526|ENSE00004246594|GENCODE|https://www.gencodegenes.org/human/|17606|ENSEMBL:ENST00000831201
chr1|17368|ENSE00004246240|7|ENSEMBL:ENSG00000310526|ENSE00004246240|GENCODE|https://www.gencodegenes.org/human/|17233|ENSEMBL:ENST00000831201
chr1|17055|ENSE00004246441|8|ENSEMBL:ENSG00000310526|ENSE00004246441|GENCODE|https://www.gencodegenes.org/human/|16858|ENSEMBL:ENST00000831201
chr1|16765|ENSE00004246508|9|ENSEMBL:ENSG00000310526|ENSE00004246508|GENCODE|https://www.gencodegenes.org/human/|16607|ENSEMBL:ENST00000831201
chr1|15947|ENSE00004246557|10|ENSEMBL:ENSG00000310526|ENSE00004246557|GENCODE|https://www.gencodegenes.org/human/|15796|ENSEMBL:ENST00000831201
chr1|15038|ENSE00004246326|11|ENSEMBL:ENSG00000310526|ENSE00004246326|GENCODE|https://www.gencodegenes.org/human/|14970|ENSEMBL:ENST00000831201
chr1|14829|ENSE00004246449|12|ENSEMBL:ENSG00000310526|ENSE00004246449|GENCODE|https://www.gencodegenes.org/human/|14356|ENSEMBL:ENST00000831201
chr1|29360|ENSE00004246466|1|ENSEMBL:ENSG00000310526|ENSE00004246466|GENCODE|https://www.gencodegenes.org/human/|29321|ENSEMBL:ENST00000831165
chr1|18366|ENSE00004246412|2|ENSEMBL:ENSG00000310526|ENSE00004246412|GENCODE|https://www.gencodegenes.org/human/|18268|ENSEMBL:ENST00000831165
chr1|18061|ENSE00004246474|3|ENSEMBL:ENSG00000310526|ENSE00004246474|GENCODE|https://www.gencodegenes.org/human/|17915|ENSEMBL:ENST00000831165
chr1|17742|ENSE00004246594|4|ENSEMBL:ENSG00000310526|ENSE00004246594|GENCODE|https://www.gencodegenes.org/human/|17606|ENSEMBL:ENST00000831165
chr1|17055|ENSE00004246441|5|ENSEMBL:ENSG00000310526|ENSE00004246441|GENCODE|https://www.gencodegenes.org/human/|16858|ENSEMBL:ENST00000831165
chr1|16765|ENSE00004246508|6|ENSEMBL:ENSG00000310526|ENSE00004246508|GENCODE|https://www.gencodegenes.org/human/|16607|ENSEMBL:ENST00000831165
chr1|15947|ENSE00004246557|7|ENSEMBL:ENSG00000310526|ENSE00004246557|GENCODE|https://www.gencodegenes.org/human/|15796|ENSEMBL:ENST00000831165
chr1|15038|ENSE00004246326|8|ENSEMBL:ENSG00000310526|ENSE00004246326|GENCODE|https://www.gencodegenes.org/human/|14970|ENSEMBL:ENST00000831165
chr1|14829|ENSE00004246449|9|ENSEMBL:ENSG00000310526|ENSE00004246449|GENCODE|https://www.gencodegenes.org/human/|14356|ENSEMBL:ENST00000831165
chr1|29366|ENSE00004246590|1|ENSEMBL:ENSG00000310526|ENSE00004246590|GENCODE|https://www.gencodegenes.org/human/|29321|ENSEMBL:ENST00000831154
chr1|24891|ENSE00004246250|2|ENSEMBL:ENSG00000310526|ENSE00004246250|GENCODE|https://www.gencodegenes.org/human/|24738|ENSEMBL:ENST00000831154
chr1|18379|ENSE00004246262|3|ENSEMBL:ENSG00000310526|ENSE00004246262|GENCODE|https://www.gencodegenes.org/human/|18268|ENSEMBL:ENST00000831154
chr1|18061|ENSE00004246474|4|ENSEMBL:ENSG00000310526|ENSE00004246474|GENCODE|https://www.gencodegenes.org/human/|17915|ENSEMBL:ENST00000831154
chr1|17742|ENSE00004246594|5|ENSEMBL:ENSG00000310526|ENSE00004246594|GENCODE|https://www.gencodegenes.org/human/|17606|ENSEMBL:ENST00000831154
chr1|17368|ENSE00004246240|6|ENSEMBL:ENSG00000310526|ENSE00004246240|GENCODE|https://www.gencodegenes.org/human/|17233|ENSEMBL:ENST00000831154
chr1|17055|ENSE00004246514|7|ENSEMBL:ENSG00000310526|ENSE00004246514|GENCODE|https://www.gencodegenes.org/human/|16854|ENSEMBL:ENST00000831154
chr1|16765|ENSE00004246508|8|ENSEMBL:ENSG00000310526|ENSE00004246508|GENCODE|https://www.gencodegenes.org/human/|16607|ENSEMBL:ENST00000831154
chr1|15947|ENSE00004246557|9|ENSEMBL:ENSG00000310526|ENSE00004246557|GENCODE|https://www.gencodegenes.org/human/|15796|ENSEMBL:ENST00000831154
chr1|15038|ENSE00004246326|10|ENSEMBL:ENSG00000310526|ENSE00004246326|GENCODE|https://www.gencodegenes.org/human/|14970|ENSEMBL:ENST00000831154
chr1|14829|ENSE00004246449|11|ENSEMBL:ENSG00000310526|ENSE00004246449|GENCODE|https://www.gencodegenes.org/human/|14356|ENSEMBL:ENST00000831154
chr1|29366|ENSE00004246590|1|ENSEMBL:ENSG00000310526|ENSE00004246590|GENCODE|https://www.gencodegenes.org/human/|29321|ENSEMBL:ENST00000831157
chr1|18061|ENSE00004246474|2|ENSEMBL:ENSG00000310526|ENSE00004246474|GENCODE|https://www.gencodegenes.org/human/|17915|ENSEMBL:ENST00000831157
chr1|17742|ENSE00004246594|3|ENSEMBL:ENSG00000310526|ENSE00004246594|GENCODE|https://www.gencodegenes.org/human/|17606|ENSEMBL:ENST00000831157
chr1|17368|ENSE00004246240|4|ENSEMBL:ENSG00000310526|ENSE00004246240|GENCODE|https://www.gencodegenes.org/human/|17233|ENSEMBL:ENST00000831157
chr1|17055|ENSE00004246441|5|ENSEMBL:ENSG00000310526|ENSE00004246441|GENCODE|https://www.gencodegenes.org/human/|16858|ENSEMBL:ENST00000831157
chr1|16765|ENSE00004246508|6|ENSEMBL:ENSG00000310526|ENSE00004246508|GENCODE|https://www.gencodegenes.org/human/|16607|ENSEMBL:ENST00000831157
chr1|15947|ENSE00004246557|7|ENSEMBL:ENSG00000310526|ENSE00004246557|GENCODE|https://www.gencodegenes.org/human/|15796|ENSEMBL:ENST00000831157
chr1|15038|ENSE00004246326|8|ENSEMBL:ENSG00000310526|ENSE00004246326|GENCODE|https://www.gencodegenes.org/human/|14970|ENSEMBL:ENST00000831157
chr1|14829|ENSE00004246449|9|ENSEMBL:ENSG00000310526|ENSE00004246449|GENCODE|https://www.gencodegenes.org/human/|14356|ENSEMBL:ENST00000831157
chr1|29373|ENSE00004246264|1|ENSEMBL:ENSG00000310526|ENSE00004246264|GENCODE|https://www.gencodegenes.org/human/|29321|ENSEMBL:ENST00000831145
chr1|18366|ENSE00004246412|2|ENSEMBL:ENSG00000310526|ENSE00004246412|GENCODE|https://www.gencodegenes.org/human/|18268|ENSEMBL:ENST00000831145
chr1|18061|ENSE00004246474|3|ENSEMBL:ENSG00000310526|ENSE00004246474|GENCODE|https://www.gencodegenes.org/human/|17915|ENSEMBL:ENST00000831145
chr1|17742|ENSE00004246594|4|ENSEMBL:ENSG00000310526|ENSE00004246594|GENCODE|https://www.gencodegenes.org/human/|17606|ENSEMBL:ENST00000831145
chr1|17368|ENSE00004246240|5|ENSEMBL:ENSG00000310526|ENSE00004246240|GENCODE|https://www.gencodegenes.org/human/|17233|ENSEMBL:ENST00000831145
chr1|17055|ENSE00004246441|6|ENSEMBL:ENSG00000310526|ENSE00004246441|GENCODE|https://www.gencodegenes.org/human/|16858|ENSEMBL:ENST00000831145
chr1|16765|ENSE00004246508|7|ENSEMBL:ENSG00000310526|ENSE00004246508|GENCODE|https://www.gencodegenes.org/human/|16607|ENSEMBL:ENST00000831145
chr1|15947|ENSE00004246557|8|ENSEMBL:ENSG00000310526|ENSE00004246557|GENCODE|https://www.gencodegenes.org/human/|15796|ENSEMBL:ENST00000831145
chr1|15038|ENSE00004246326|9|ENSEMBL:ENSG00000310526|ENSE00004246326|GENCODE|https://www.gencodegenes.org/human/|14970|ENSEMBL:ENST00000831145
chr1|14829|ENSE00004246449|10|ENSEMBL:ENSG00000310526|ENSE00004246449|GENCODE|https://www.gencodegenes.org/human/|14356|ENSEMBL:ENST00000831145
chr1|29373|ENSE00004246264|1|ENSEMBL:ENSG00000310526|ENSE00004246264|GENCODE|https://www.gencodegenes.org/human/|29321|ENSEMBL:ENST00000831146
chr1|24891|ENSE00004246250|2|ENSEMBL:ENSG00000310526|ENSE00004246250|GENCODE|https://www.gencodegenes.org/human/|24738|ENSEMBL:ENST00000831146
chr1|18366|ENSE00004246412|3|ENSEMBL:ENSG00000310526|ENSE00004246412|GENCODE|https://www.gencodegenes.org/human/|18268|ENSEMBL:ENST00000831146
chr1|18061|ENSE00004246474|4|ENSEMBL:ENSG00000310526|ENSE00004246474|GENCODE|https://www.gencodegenes.org/human/|17915|ENSEMBL:ENST00000831146
chr1|17742|ENSE00004246594|5|ENSEMBL:ENSG00000310526|ENSE00004246594|GENCODE|https://www.gencodegenes.org/human/|17606|ENSEMBL:ENST00000831146
chr1|17368|ENSE00004246240|6|ENSEMBL:ENSG00000310526|ENSE00004246240|GENCODE|https://www.gencodegenes.org/human/|17233|ENSEMBL:ENST00000831146
chr1|17055|ENSE00004246441|7|ENSEMBL:ENSG00000310526|ENSE00004246441|GENCODE|https://www.gencodegenes.org/human/|16858|ENSEMBL:ENST00000831146
chr1|16765|ENSE00004246508|8|ENSEMBL:ENSG00000310526|ENSE00004246508|GENCODE|https://www.gencodegenes.org/human/|16607|ENSEMBL:ENST00000831146
chr1|15947|ENSE00004246557|9|ENSEMBL:ENSG00000310526|ENSE00004246557|GENCODE|https://www.gencodegenes.org/human/|15796|ENSEMBL:ENST00000831146
