alternative_ids|id|synonym|term_name
|GO_0070554||synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex
|GO_0070763|"[""Delta1 homodimer complex""]"|Delta1 complex
"[""GO:1990421"", ""GO:1990707""]"|GO_0099115|"[""sub-telomeric heterochromatin"", ""subtelomeric heterochromatin"", ""subtelomere""]"|chromosome, subtelomeric region
|GO_0071957|"[""old SPB""]"|old mitotic spindle pole body
|GO_0062040||fungal biofilm matrix
"[""GO:0048181""]"|GO_0043509||activin A complex
|GO_0071200|"[""Kv4.2-DPPX channel complex""]"|Kv4.2-DPP6 channel complex
|GO_0033066|"[""BC complex""]"|Rad51B-Rad51C complex
|GO_1902560||GMP reductase complex
|GO_1990195|"[""macrolide transporter""]"|macrolide transmembrane transporter complex
|GO_0071083||alphaV-beta3 integrin-CD47-FCER2 complex
|GO_0055052||ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing
|GO_0120111||neuron projection cytoplasm
|GO_0031598||nuclear proteasome regulatory particle
|GO_0106069||synapsis initiation complex
