accessions|canonical_accession|id|is_canonical|is_isoform|isoform_name|protein_name|source|source_url
|Q13362|Q13362-1||True|Gamma-3|2A5G|UniProt|https://www.uniprot.org/
|Q13362|Q13362-2||True|Gamma-1|2A5G|UniProt|https://www.uniprot.org/
|Q13362|Q13362-3||True|Gamma-2|2A5G|UniProt|https://www.uniprot.org/
|Q13362|Q13362-4||True|4|2A5G|UniProt|https://www.uniprot.org/
|Q13362|Q13362-5||True|5|2A5G|UniProt|https://www.uniprot.org/
"[""Q13773"", ""Q6ICQ3"", ""Q96DH3""]"||P30153|True|||2AAA|UniProt|https://www.uniprot.org/
"[""A8MY67"", ""B0YJ69"", ""B4DGQ6"", ""B4DK91"", ""B4DWW5"", ""F8W8G1"", ""O75620"", ""Q8NHV8""]"||P30154|True|||2AAB|UniProt|https://www.uniprot.org/
|P30154|P30154-1||True|1|2AAB|UniProt|https://www.uniprot.org/
|P30154|P30154-2||True|2|2AAB|UniProt|https://www.uniprot.org/
|P30154|P30154-3||True|3|2AAB|UniProt|https://www.uniprot.org/
|P30154|P30154-4||True|4|2AAB|UniProt|https://www.uniprot.org/
|P30154|P30154-5||True|5|2AAB|UniProt|https://www.uniprot.org/
"[""B2RBU8"", ""B4E1T7"", ""P50409"", ""Q00007""]"||P63151|True|||2ABA|UniProt|https://www.uniprot.org/
|P63151|P63151-1||True|1|2ABA|UniProt|https://www.uniprot.org/
|P63151|P63151-2||True|2|2ABA|UniProt|https://www.uniprot.org/
"[""A6NEJ2"", ""A8K102"", ""B3KPD0"", ""B7Z2F2"", ""B7Z304"", ""D3DQF7"", ""D3DQF8"", ""G3V149""]"||Q00005|True|||2ABB|UniProt|https://www.uniprot.org/
|Q00005|Q00005-1||True|1|2ABB|UniProt|https://www.uniprot.org/
|Q00005|Q00005-2||True|2|2ABB|UniProt|https://www.uniprot.org/
|Q00005|Q00005-3||True|3|2ABB|UniProt|https://www.uniprot.org/
|Q00005|Q00005-4||True|4|2ABB|UniProt|https://www.uniprot.org/
|Q00005|Q00005-5||True|5|2ABB|UniProt|https://www.uniprot.org/
|Q00005|Q00005-6||True|6|2ABB|UniProt|https://www.uniprot.org/
|Q00005|Q00005-7||True|7|2ABB|UniProt|https://www.uniprot.org/
"[""A8KAK0"", ""Q5SQJ2"", ""Q9P1Y7""]"||Q66LE6|True|||2ABD|UniProt|https://www.uniprot.org/
"[""A8MSY7"", ""B7Z3Y1"", ""Q7Z4V7"", ""Q8NEC4"", ""Q9H3G7""]"||Q9Y2T4|True|||2ABG|UniProt|https://www.uniprot.org/
|Q9Y2T4|Q9Y2T4-1||True|1|2ABG|UniProt|https://www.uniprot.org/
|Q9Y2T4|Q9Y2T4-2||True|2|2ABG|UniProt|https://www.uniprot.org/
|Q9Y2T4|Q9Y2T4-3||True|3|2ABG|UniProt|https://www.uniprot.org/
|Q9Y2T4|Q9Y2T4-4||True|4|2ABG|UniProt|https://www.uniprot.org/
"[""A8K691"", ""Q14545"", ""Q8IV65""]"||P14060|True|||3BHS1|UniProt|https://www.uniprot.org/
"[""A2RRA5"", ""Q16010"", ""Q53GD4"", ""Q6AI10"", ""Q6LDB9"", ""Q99890"", ""Q9UD08""]"||P26439|True|||3BHS2|UniProt|https://www.uniprot.org/
|P26439|P26439-1||True|1|3BHS2|UniProt|https://www.uniprot.org/
|P26439|P26439-2||True|2|3BHS2|UniProt|https://www.uniprot.org/
"[""Q96M28"", ""Q9BSN9""]"||Q9H2F3|True|||3BHS7|UniProt|https://www.uniprot.org/
|Q9H2F3|Q9H2F3-1||True|1|3BHS7|UniProt|https://www.uniprot.org/
|Q9H2F3|Q9H2F3-2||True|2|3BHS7|UniProt|https://www.uniprot.org/
"[""Q5R3N0"", ""Q6IBZ2"", ""Q6ZVL9"", ""Q96HQ5"", ""Q9NSQ9""]"||Q9Y3L3|True|||3BP1|UniProt|https://www.uniprot.org/
|Q9Y3L3|Q9Y3L3-1||True|1|3BP1|UniProt|https://www.uniprot.org/
|Q9Y3L3|Q9Y3L3-2||True|2|3BP1|UniProt|https://www.uniprot.org/
|Q9Y3L3|Q6ZT62-1||True|Long BGIN {ECO:0000303PubMed:23223568}|3BP1|UniProt|https://www.uniprot.org/
|Q9Y3L3|Q6ZT62-2||True|Short BGIN {ECO:0000303PubMed:23223568}|3BP1|UniProt|https://www.uniprot.org/
"[""A6NNC2"", ""B2R5R6"", ""B4DT04"", ""D3DVR0"", ""D6R919"", ""O00500"", ""O15373"", ""P78315""]"||P78314|True|||3BP2|UniProt|https://www.uniprot.org/
|P78314|P78314-1||True|1|3BP2|UniProt|https://www.uniprot.org/
|P78314|P78314-2||True|2|3BP2|UniProt|https://www.uniprot.org/
|P78314|P78314-3||True|3|3BP2|UniProt|https://www.uniprot.org/
|P78314|P78314-4||True|4|3BP2|UniProt|https://www.uniprot.org/
"[""B4DQ94"", ""Q96FI5"", ""Q9BQH8"", ""Q9C0E3""]"||Q7L8J4|True|||3BP5L|UniProt|https://www.uniprot.org/
|Q7L8J4|Q7L8J4-1||True|1|3BP5L|UniProt|https://www.uniprot.org/
|Q7L8J4|Q7L8J4-2||True|2|3BP5L|UniProt|https://www.uniprot.org/
"[""B3KQW6"", ""Q5JWV9""]"||O60239|True|||3BP5|UniProt|https://www.uniprot.org/
|O60239|O60239-1||True|1|3BP5|UniProt|https://www.uniprot.org/
|O60239|O60239-2||True|2|3BP5|UniProt|https://www.uniprot.org/
"[""A6NE56"", ""B4DIN2"", ""Q53QZ7"", ""Q8N6N9""]"||P46952|True|||3HAO|UniProt|https://www.uniprot.org/
|P46952|P46952-1||True|1|3HAO|UniProt|https://www.uniprot.org/
|P46952|P46952-2||True|2|3HAO|UniProt|https://www.uniprot.org/
"[""Q546Z2"", ""Q9UDN3""]"||P31937|True|||3HIDH|UniProt|https://www.uniprot.org/
"[""G5E9E2"", ""Q13770"", ""Q15275"", ""Q15961"", ""Q5J9I4"", ""Q96BZ6"", ""Q96S33"", ""Q9NNX5""]"||P29372|True|||3MG|UniProt|https://www.uniprot.org/
|P29372|P29372-1||True|1|3MG|UniProt|https://www.uniprot.org/
|P29372|P29372-2||True|2|3MG|UniProt|https://www.uniprot.org/
|P29372|P29372-4||True|3|3MG|UniProt|https://www.uniprot.org/
|P29372|P29372-5||True|4|3MG|UniProt|https://www.uniprot.org/
"[""B2R502"", ""D3DSW8"", ""Q6IBN3""]"||Q13541|True|||4EBP1|UniProt|https://www.uniprot.org/
||Q13542|True|||4EBP2|UniProt|https://www.uniprot.org/
||O60516|True|||4EBP3|UniProt|https://www.uniprot.org/
"[""B1AKL2"", ""B1AKL3"", ""B2RBF1"", ""Q8NCF2"", ""Q9H708""]"||Q9NRA8|True|||4ET|UniProt|https://www.uniprot.org/
|Q9NRA8|Q9NRA8-1||True|1|4ET|UniProt|https://www.uniprot.org/
|Q9NRA8|Q9NRA8-2||True|2|4ET|UniProt|https://www.uniprot.org/
|Q9NRA8|Q9NRA8-3||True|3|4ET|UniProt|https://www.uniprot.org/
"[""J3KPF3"", ""Q13543""]"||P08195|True|||4F2|UniProt|https://www.uniprot.org/
|P08195|P08195-1||True|1|4F2|UniProt|https://www.uniprot.org/
|P08195|P08195-2||True|2|4F2|UniProt|https://www.uniprot.org/
|P08195|P08195-3||True|3|4F2|UniProt|https://www.uniprot.org/
|P08195|P08195-4||True|4|4F2|UniProt|https://www.uniprot.org/
|P08195|P08195-5||True|5|4F2|UniProt|https://www.uniprot.org/
"[""Q6LAE7""]"||P08908|True|||5HT1A|UniProt|https://www.uniprot.org/
"[""Q4VAY7""]"||P28222|True|||5HT1B|UniProt|https://www.uniprot.org/
||P28221|True|||5HT1D|UniProt|https://www.uniprot.org/
"[""E1P503"", ""Q9P1Y1""]"||P28566|True|||5HT1E|UniProt|https://www.uniprot.org/
||P30939|True|||5HT1F|UniProt|https://www.uniprot.org/
"[""B2RAC5"", ""B4DZ79"", ""F5GWE8"", ""Q5T8C0""]"||P28223|True|||5HT2A|UniProt|https://www.uniprot.org/
|P28223|P28223-1||True|1|5HT2A|UniProt|https://www.uniprot.org/
|P28223|P28223-2||True|2|5HT2A|UniProt|https://www.uniprot.org/
"[""B2R9D5"", ""Q53TI1"", ""Q62221"", ""Q6P523""]"||P41595|True|||5HT2B|UniProt|https://www.uniprot.org/
"[""B1AMW4"", ""Q5VUF8"", ""Q9NP28""]"||P28335|True|||5HT2C|UniProt|https://www.uniprot.org/
|P28335|P28335-1||True|1|5HT2C|UniProt|https://www.uniprot.org/
|P28335|P28335-2||True|2|5HT2C|UniProt|https://www.uniprot.org/
"[""B4DSY6"", ""G5E986"", ""O60854"", ""Q7KZM7"", ""Q99918"", ""Q9BSZ9""]"||P46098|True|||5HT3A|UniProt|https://www.uniprot.org/
|P46098|P46098-1||True|1|5HT3A|UniProt|https://www.uniprot.org/
|P46098|P46098-2||True|2|5HT3A|UniProt|https://www.uniprot.org/
|P46098|P46098-3||True|3|5HT3A|UniProt|https://www.uniprot.org/
|P46098|P46098-4||True|4|5HT3A|UniProt|https://www.uniprot.org/
|P46098|P46098-5||True|5|5HT3A|UniProt|https://www.uniprot.org/
"[""B0YJ23"", ""Q0VJC3""]"||O95264|True|||5HT3B|UniProt|https://www.uniprot.org/
|O95264|O95264-1||True|1|5HT3B|UniProt|https://www.uniprot.org/
|O95264|O95264-2||True|2|5HT3B|UniProt|https://www.uniprot.org/
"[""A2RRR5""]"||Q8WXA8|True|||5HT3C|UniProt|https://www.uniprot.org/
"[""C9J2I6"", ""J3QT78"", ""Q495N5"", ""Q495N6"", ""Q7Z6B3""]"||Q70Z44|True|||5HT3D|UniProt|https://www.uniprot.org/
|Q70Z44|Q70Z44-1||True|1|5HT3D|UniProt|https://www.uniprot.org/
|Q70Z44|Q70Z44-2||True|2|5HT3D|UniProt|https://www.uniprot.org/
|Q70Z44|Q70Z44-3||True|3|5HT3D|UniProt|https://www.uniprot.org/
|Q70Z44|Q70Z44-4||True|4|5HT3D|UniProt|https://www.uniprot.org/
"[""A8IKD7"", ""E9PGF1"", ""Q495G1"", ""Q495G3"", ""Q6V706"", ""Q6V707"", ""Q7Z6B2""]"||A5X5Y0|True|||5HT3E|UniProt|https://www.uniprot.org/
|A5X5Y0|A5X5Y0-1||True|1|5HT3E|UniProt|https://www.uniprot.org/
|A5X5Y0|A5X5Y0-2||True|2|5HT3E|UniProt|https://www.uniprot.org/
|A5X5Y0|A5X5Y0-3||True|3|5HT3E|UniProt|https://www.uniprot.org/
|A5X5Y0|A5X5Y0-4||True|4|5HT3E|UniProt|https://www.uniprot.org/
|A5X5Y0|A5X5Y0-6||True|5|5HT3E|UniProt|https://www.uniprot.org/
"[""C4WYH4"", ""Q546Q1"", ""Q684M0"", ""Q712M9"", ""Q96KH9"", ""Q96KI0"", ""Q9H199"", ""Q9NY73"", ""Q9UBM6"", ""Q9UBT4"", ""Q9UE22"", ""Q9UE23"", ""Q9UQR6""]"||Q13639|True|||5HT4R|UniProt|https://www.uniprot.org/
|Q13639|Q13639-1||True|5-HT4(B)|5HT4R|UniProt|https://www.uniprot.org/
|Q13639|Q13639-2||True|5-HT4(A)|5HT4R|UniProt|https://www.uniprot.org/
|Q13639|Q13639-3||True|5-HT4(C)|5HT4R|UniProt|https://www.uniprot.org/
|Q13639|Q13639-4||True|5-HT4(D)|5HT4R|UniProt|https://www.uniprot.org/
|Q13639|Q13639-5||True|5-HT4(E)|5HT4R|UniProt|https://www.uniprot.org/
|Q13639|Q13639-6||True|5-HT4(F)|5HT4R|UniProt|https://www.uniprot.org/
|Q13639|Q13639-7||True|5-HT4(G)|5HT4R|UniProt|https://www.uniprot.org/
|Q13639|Q13639-8||True|5-HT4(I)|5HT4R|UniProt|https://www.uniprot.org/
|Q13639|Q13639-9||True|5-HT4c1|5HT4R|UniProt|https://www.uniprot.org/
"[""Q2M2D2""]"||P47898|True|||5HT5A|UniProt|https://www.uniprot.org/
"[""Q13640"", ""Q5TGZ1""]"||P50406|True|||5HT6R|UniProt|https://www.uniprot.org/
"[""B5BUP6"", ""P78336"", ""P78372"", ""P78516"", ""Q5VX01"", ""Q5VX02"", ""Q5VX03""]"||P34969|True|||5HT7R|UniProt|https://www.uniprot.org/
|P34969|P34969-1||True|D|5HT7R|UniProt|https://www.uniprot.org/
|P34969|P34969-2||True|A|5HT7R|UniProt|https://www.uniprot.org/
|P34969|P34969-3||True|B|5HT7R|UniProt|https://www.uniprot.org/
"[""A4D123"", ""Q3B779"", ""Q96JW5"", ""Q9H3F7""]"||Q9Y6E2|True|||5MP1|UniProt|https://www.uniprot.org/
|Q9Y6E2|Q9Y6E2-1||True|1|5MP1|UniProt|https://www.uniprot.org/
|Q9Y6E2|Q9Y6E2-2||True|2|5MP1|UniProt|https://www.uniprot.org/
"[""B4DLZ8"", ""B4DWF7"", ""Q14281"", ""Q15394"", ""Q9BUY0""]"||Q7L1Q6|True|||5MP2|UniProt|https://www.uniprot.org/
|Q7L1Q6|Q7L1Q6-1||True|1|5MP2|UniProt|https://www.uniprot.org/
|Q7L1Q6|Q7L1Q6-2||True|2|5MP2|UniProt|https://www.uniprot.org/
|Q7L1Q6|Q7L1Q6-3||True|3|5MP2|UniProt|https://www.uniprot.org/
|Q7L1Q6|Q7L1Q6-4||True|4|5MP2|UniProt|https://www.uniprot.org/
"[""Q3SYB9"", ""Q5TG98"", ""Q9BWT8""]"||Q9BXI3|True|||5NT1A|UniProt|https://www.uniprot.org/
"[""B5MCR0"", ""B7ZVX7"", ""Q53RX2"", ""Q8N9W3"", ""Q8NA26"", ""Q96DU5"", ""Q96KE6"", ""Q96M25"", ""Q96SA3""]"||Q96P26|True|||5NT1B|UniProt|https://www.uniprot.org/
|Q96P26|Q96P26-1||True|1|5NT1B|UniProt|https://www.uniprot.org/
|Q96P26|Q96P26-2||True|2|5NT1B|UniProt|https://www.uniprot.org/
|Q96P26|Q96P26-3||True|3|5NT1B|UniProt|https://www.uniprot.org/
|Q96P26|Q96P26-4||True|4|5NT1B|UniProt|https://www.uniprot.org/
"[""A8K253"", ""B2RAA5"", ""B8ZZC4"", ""Q6IPZ1"", ""Q6NXS6"", ""Q7L3G6"", ""Q9P0P5"", ""Q9UC42"", ""Q9UC43"", ""Q9UC44"", ""Q9UC45""]"||Q9H0P0|True|||5NT3A|UniProt|https://www.uniprot.org/
|Q9H0P0|Q9H0P0-4||True|2|5NT3A|UniProt|https://www.uniprot.org/
|Q9H0P0|Q9H0P0-1||True|1|5NT3A|UniProt|https://www.uniprot.org/
|Q9H0P0|Q9H0P0-2||True|3|5NT3A|UniProt|https://www.uniprot.org/
|Q9H0P0|Q9H0P0-3||True|4|5NT3A|UniProt|https://www.uniprot.org/
"[""A8MWB9"", ""C9JKC4"", ""Q7L3B7""]"||Q969T7|True|||5NT3B|UniProt|https://www.uniprot.org/
|Q969T7|Q969T7-1||True|1|5NT3B|UniProt|https://www.uniprot.org/
|Q969T7|Q969T7-2||True|2|5NT3B|UniProt|https://www.uniprot.org/
"[""B7Z382"", ""D3DR91"", ""Q5JUV5""]"||P49902|True|||5NTC|UniProt|https://www.uniprot.org/
|P49902|P49902-1||True|1|5NTC|UniProt|https://www.uniprot.org/
|P49902|P49902-2||True|2|5NTC|UniProt|https://www.uniprot.org/
"[""B3KQI8"", ""O75520"", ""Q5W116""]"||P21589|True|||5NTD|UniProt|https://www.uniprot.org/
|P21589|P21589-1||True|1|5NTD|UniProt|https://www.uniprot.org/
|P21589|P21589-2||True|2|5NTD|UniProt|https://www.uniprot.org/
"[""A8K2Y9"", ""B4DQJ8"", ""Q9BWD8""]"||P52209|True|||6PGD|UniProt|https://www.uniprot.org/
|P52209|P52209-1||True|1|6PGD|UniProt|https://www.uniprot.org/
|P52209|P52209-2||True|2|6PGD|UniProt|https://www.uniprot.org/
||O95336|True|||6PGL|UniProt|https://www.uniprot.org/
"[""P01164"", ""Q6FHD0"", ""Q9BS38""]"||P05408|True|||7B2|UniProt|https://www.uniprot.org/
|P05408|P05408-1||True|1|7B2|UniProt|https://www.uniprot.org/
|P05408|P05408-2||True|2|7B2|UniProt|https://www.uniprot.org/
"[""A4D205"", ""Q6LES7"", ""Q6P0Y6"", ""Q7Z7N6"", ""Q8IV95"", ""Q9UBM0"", ""Q9UBM9""]"||P36639|True|||8ODP|UniProt|https://www.uniprot.org/
|P36639|P36639-4||True|p18|8ODP|UniProt|https://www.uniprot.org/
|P36639|P36639-1||True|p26|8ODP|UniProt|https://www.uniprot.org/
|P36639|P36639-2||True|p22|8ODP|UniProt|https://www.uniprot.org/
|P36639|P36639-3||True|p21|8ODP|UniProt|https://www.uniprot.org/
||P0DKL9|True|||A14EL|UniProt|https://www.uniprot.org/
"[""B4DLQ1"", ""C9JBH6"", ""Q86YF0"", ""Q8IYL4"", ""Q8TEI8""]"||Q8IZ83|True|||A16A1|UniProt|https://www.uniprot.org/
|Q8IZ83|Q8IZ83-1||True|1|A16A1|UniProt|https://www.uniprot.org/
|Q8IZ83|Q8IZ83-2||True|2|A16A1|UniProt|https://www.uniprot.org/
|Q8IZ83|Q8IZ83-3||True|3|A16A1|UniProt|https://www.uniprot.org/
"[""A3EXK9"", ""A3EXL0"", ""B6ZDH0"", ""Q6IPN1"", ""Q6UXW4"", ""Q6ZVZ5"", ""Q8NCY2"", ""Q96JV5"", ""Q9H619""]"||Q676U5|True|||A16L1|UniProt|https://www.uniprot.org/
|Q676U5|Q676U5-1||True|1|A16L1|UniProt|https://www.uniprot.org/
|Q676U5|Q676U5-2||True|2|A16L1|UniProt|https://www.uniprot.org/
|Q676U5|Q676U5-3||True|3|A16L1|UniProt|https://www.uniprot.org/
|Q676U5|Q676U5-4||True|4|A16L1|UniProt|https://www.uniprot.org/
|Q676U5|Q676U5-5||True|5|A16L1|UniProt|https://www.uniprot.org/
"[""A5PL30"", ""B2RPK5"", ""Q658V4"", ""Q6PID3"", ""Q8NBG0""]"||Q8NAA4|True|||A16L2|UniProt|https://www.uniprot.org/
|Q8NAA4|Q8NAA4-1||True|1|A16L2|UniProt|https://www.uniprot.org/
|Q8NAA4|Q8NAA4-2||True|2|A16L2|UniProt|https://www.uniprot.org/
|Q8NAA4|Q8NAA4-3||True|3|A16L2|UniProt|https://www.uniprot.org/
"[""B7ZKQ5"", ""Q5T539"", ""Q5U067"", ""Q8TC16""]"||P02763|True|||A1AG1|UniProt|https://www.uniprot.org/
"[""B2R5L2"", ""Q16571"", ""Q5T538"", ""Q6IB74""]"||P19652|True|||A1AG2|UniProt|https://www.uniprot.org/
"[""A0A0G2JPK4"", ""S4UD68""]"||P20848|True|||A1ATR|UniProt|https://www.uniprot.org/
"[""A6PX14"", ""B2RDQ8"", ""Q0PVP5"", ""Q13672"", ""Q53XB8"", ""Q5U0M1"", ""Q7M4R2"", ""Q86U18"", ""Q86U19"", ""Q96BF9"", ""Q96ES1"", ""Q9P1P0"", ""Q9UCE6"", ""Q9UCM3""]"||P01009|True|||A1AT|UniProt|https://www.uniprot.org/
|P01009|P01009-1||True|1|A1AT|UniProt|https://www.uniprot.org/
|P01009|P01009-2||True|2|A1AT|UniProt|https://www.uniprot.org/
|P01009|P01009-3||True|3|A1AT|UniProt|https://www.uniprot.org/
"[""A8K052"", ""Q68CK0"", ""Q8IYJ6"", ""Q96P39""]"||P04217|True|||A1BG|UniProt|https://www.uniprot.org/
|P04217|P04217-1||True|1|A1BG|UniProt|https://www.uniprot.org/
|P04217|P04217-2||True|2|A1BG|UniProt|https://www.uniprot.org/
"[""A1L4F2"", ""A8K7G7"", ""B7ZM14"", ""Q5SZQ0"", ""Q9NQ93"", ""Q9NQX8"", ""Q9NQX9"", ""Q9NXC9"", ""Q9NZD3""]"||Q9NQ94|True|||A1CF|UniProt|https://www.uniprot.org/
|Q9NQ94|Q9NQ94-1||True|1 {ECO:0000269PubMed:10781591}|A1CF|UniProt|https://www.uniprot.org/
|Q9NQ94|Q9NQ94-2||True|2 {ECO:0000269PubMed:10669759, ECO:0000269PubMed:10781591}|A1CF|UniProt|https://www.uniprot.org/
|Q9NQ94|Q9NQ94-3||True|3|A1CF|UniProt|https://www.uniprot.org/
|Q9NQ94|Q9NQ94-4||True|4 {ECO:0000305}|A1CF|UniProt|https://www.uniprot.org/
|Q9NQ94|Q9NQ94-5||True|5 {ECO:0000269PubMed:11718896}|A1CF|UniProt|https://www.uniprot.org/
|Q9NQ94|Q9NQ94-6||True|6 {ECO:0000269PubMed:11718896}|A1CF|UniProt|https://www.uniprot.org/
||Q8NF67|True|||A2012|UniProt|https://www.uniprot.org/
"[""Q9H0H6""]"||Q5TYW2|True|||A20A1|UniProt|https://www.uniprot.org/
||Q5SQ80|True|||A20A2|UniProt|https://www.uniprot.org/
||Q5VUR7|True|||A20A3|UniProt|https://www.uniprot.org/
||Q4UJ75|True|||A20A4|UniProt|https://www.uniprot.org/
"[""Q4G1B6""]"||A0PJZ0|True|||A20A5|UniProt|https://www.uniprot.org/
||Q96IX9|True|||A26L1|UniProt|https://www.uniprot.org/
"[""B4E1B7"", ""Q8N5U7"", ""Q9UCG2"", ""Q9UCG3""]"||P08697|True|||A2AP|UniProt|https://www.uniprot.org/
|P08697|P08697-1||True|1|A2AP|UniProt|https://www.uniprot.org/
|P08697|P08697-2||True|2|A2AP|UniProt|https://www.uniprot.org/
"[""Q8N4F5"", ""Q96QZ4""]"||P02750|True|||A2GL|UniProt|https://www.uniprot.org/
"[""Q13677"", ""Q59F47"", ""Q5QTS0"", ""Q68DN2"", ""Q6PIY3"", ""Q6PN97""]"||P01023|True|||A2MG|UniProt|https://www.uniprot.org/
"[""B5MDD1"", ""B7Z7V4"", ""D3DUV3"", ""F5H2Z2"", ""Q2M224"", ""Q6ZW52"", ""Q6ZW53"", ""Q8N1M4"", ""Q96LQ8""]"||A8K2U0|True|||A2ML1|UniProt|https://www.uniprot.org/
|A8K2U0|A8K2U0-1||True|1|A2ML1|UniProt|https://www.uniprot.org/
|A8K2U0|A8K2U0-2||True|2|A2ML1|UniProt|https://www.uniprot.org/
"[""B8ZZL7""]"||A7E2S9|True|||A30BL|UniProt|https://www.uniprot.org/
|A7E2S9|A7E2S9-1||True|1|A30BL|UniProt|https://www.uniprot.org/
|A7E2S9|A7E2S9-2||True|2|A30BL|UniProt|https://www.uniprot.org/
||U3KPV4|True|||A3LT2|UniProt|https://www.uniprot.org/
"[""Q6ZS69""]"||Q5T5F5|True|||A4AS1|UniProt|https://www.uniprot.org/
"[""B2R7C4"", ""Q9P1X5""]"||Q9NPC4|True|||A4GAT|UniProt|https://www.uniprot.org/
"[""Q0VDK1"", ""Q0VDK2""]"||Q9UNA3|True|||A4GCT|UniProt|https://www.uniprot.org/
"[""B2R5V1"", ""B4DII8"", ""D3DSD1"", ""D3DSD2"", ""D3DSD3"", ""P09000"", ""P78438"", ""Q13764"", ""Q13778"", ""Q13793"", ""Q16011"", ""Q16014"", ""Q16019"", ""Q16020"", ""Q6GSC0"", ""Q8WZ99"", ""Q9BT38"", ""Q9UC33"", ""Q9UCA9"", ""Q9UCB6"", ""Q9UCC8"", ""Q9UCD1"", ""Q9UQ58""]"||P05067|True|||A4|UniProt|https://www.uniprot.org/
|P05067|P05067-1||True|APP770|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-2||True|APP305|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-3||True|L-APP677|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-4||True|APP695|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-5||True|L-APP696|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-6||True|APP714|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-7||True|L-APP733|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-8||True|APP751|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-9||True|L-APP752|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-10||True|APP639|A4|UniProt|https://www.uniprot.org/
|P05067|P05067-11||True|11|A4|UniProt|https://www.uniprot.org/
||Q96GX2|True|||A7L3B|UniProt|https://www.uniprot.org/
