go_term_id|label|pathway_name|source_id|source_type|subontology|target_id|target_type
GO:0036151|pathway_to_biological_process|Acyl chain remodelling of PC|R-HSA-1482788|pathway|biological_process|GO_0036151|biological_process
GO:0036152|pathway_to_biological_process|Acyl chain remodelling of PE|R-HSA-1482839|pathway|biological_process|GO_0036152|biological_process
GO:0036148|pathway_to_biological_process|Acyl chain remodelling of PG|R-HSA-1482925|pathway|biological_process|GO_0036148|biological_process
GO:0036149|pathway_to_biological_process|Acyl chain remodelling of PI|R-HSA-1482922|pathway|biological_process|GO_0036149|biological_process
GO:0036150|pathway_to_biological_process|Acyl chain remodelling of PS|R-HSA-1482801|pathway|biological_process|GO_0036150|biological_process
GO:0002250|pathway_to_biological_process|Adaptive Immune System|R-HSA-1280218|pathway|biological_process|GO_0002250|biological_process
GO:0007189|pathway_to_biological_process|Adenylate cyclase activating pathway|R-HSA-170660|pathway|biological_process|GO_0007189|biological_process
GO:0007193|pathway_to_biological_process|Adenylate cyclase inhibitory pathway|R-HSA-170670|pathway|biological_process|GO_0007193|biological_process
GO:0034332|pathway_to_biological_process|Adherens junctions interactions|R-HSA-418990|pathway|biological_process|GO_0034332|biological_process
GO:1904177|pathway_to_biological_process|Adipogenesis|R-HSA-9843745|pathway|biological_process|GO_1904177|biological_process
GO:0030168|pathway_to_biological_process|Adrenaline signalling through Alpha-2 adrenergic receptor|R-HSA-392023|pathway|biological_process|GO_0030168|biological_process
GO:0046676|pathway_to_biological_process|Adrenaline,noradrenaline inhibits insulin secretion|R-HSA-400042|pathway|biological_process|GO_0046676|biological_process
GO:0046222|pathway_to_biological_process|Aflatoxin activation and detoxification|R-HSA-5423646|pathway|biological_process|GO_0046222|biological_process
GO:0035973|pathway_to_biological_process|Aggrephagy|R-HSA-9646399|pathway|biological_process|GO_0035973|biological_process
GO:0097055|pathway_to_biological_process|Agmatine biosynthesis|R-HSA-351143|pathway|biological_process|GO_0097055|biological_process
GO:0009078|pathway_to_biological_process|Alanine metabolism|R-HSA-8964540|pathway|biological_process|GO_0009078|biological_process
GO:0001561|pathway_to_biological_process|Alpha-oxidation of phytanate|R-HSA-389599|pathway|biological_process|GO_0001561|biological_process
GO:0002753|pathway_to_biological_process|Alpha-protein kinase 1 signaling pathway|R-HSA-9645460|pathway|biological_process|GO_0002753|biological_process
GO:0006957|pathway_to_biological_process|Alternative complement activation|R-HSA-173736|pathway|biological_process|GO_0006957|biological_process
GO:0006865|pathway_to_biological_process|Amino acid transport across the plasma membrane|R-HSA-352230|pathway|biological_process|GO_0006865|biological_process
GO:0034198|pathway_to_biological_process|Amino acids regulate mTORC1|R-HSA-9639288|pathway|biological_process|GO_0034198|biological_process
GO:1990000|pathway_to_biological_process|Amyloid fiber formation|R-HSA-977225|pathway|biological_process|GO_1990000|biological_process
GO:0030199|pathway_to_biological_process|Anchoring fibril formation|R-HSA-2214320|pathway|biological_process|GO_0030199|biological_process
GO:0097711|pathway_to_biological_process|Anchoring of the basal body to the plasma membrane|R-HSA-5620912|pathway|biological_process|GO_0097711|biological_process
GO:0006702|pathway_to_biological_process|Androgen biosynthesis|R-HSA-193048|pathway|biological_process|GO_0006702|biological_process
GO:0051711|pathway_to_biological_process|Anti-inflammatory response favouring Leishmania parasite infection|R-HSA-9662851|pathway|biological_process|GO_0051711|biological_process
GO:0042590|pathway_to_biological_process|Antigen processing-Cross presentation|R-HSA-1236975|pathway|biological_process|GO_0042590|biological_process
GO:0010499|pathway_to_biological_process|Antigen processing: Ub, ATP-independent proteasomal degradation|R-HSA-9912633|pathway|biological_process|GO_0010499|biological_process
GO:0000209|pathway_to_biological_process|Antigen processing: Ubiquitination & Proteasome degradation|R-HSA-983168|pathway|biological_process|GO_0000209|biological_process
GO:0046677|pathway_to_biological_process|Antimicrobial action and antimicrobial resistance in Mtb|R-HSA-9639775|pathway|biological_process|GO_0046677|biological_process
GO:0019730|pathway_to_biological_process|Antimicrobial peptides|R-HSA-6803157|pathway|biological_process|GO_0019730|biological_process
GO:0046677|pathway_to_biological_process|Antimicrobial resistance|R-HSA-9913143|pathway|biological_process|GO_0046677|biological_process
GO:0006915|pathway_to_biological_process|Apoptosis|R-HSA-109581|pathway|biological_process|GO_0006915|biological_process
GO:0006309|pathway_to_biological_process|Apoptosis induced DNA fragmentation|R-HSA-140342|pathway|biological_process|GO_0006309|biological_process
GO:0097194|pathway_to_biological_process|Apoptotic execution phase|R-HSA-75153|pathway|biological_process|GO_0097194|biological_process
GO:0006833|pathway_to_biological_process|Aquaporin-mediated transport|R-HSA-445717|pathway|biological_process|GO_0006833|biological_process
GO:0019369|pathway_to_biological_process|Arachidonate metabolism|R-HSA-2142753|pathway|biological_process|GO_0019369|biological_process
GO:0019369|pathway_to_biological_process|Arachidonate production from DAG|R-HSA-426048|pathway|biological_process|GO_0019369|biological_process
GO:0018279|pathway_to_biological_process|Asparagine N-linked glycosylation|R-HSA-446203|pathway|biological_process|GO_0018279|biological_process
GO:0170033|pathway_to_biological_process|Aspartate and asparagine metabolism|R-HSA-8963693|pathway|biological_process|GO_0170033|biological_process
GO:0019068|pathway_to_biological_process|Assembly Of The HIV Virion|R-HSA-175474|pathway|biological_process|GO_0019068|biological_process
GO:0019068|pathway_to_biological_process|Assembly of Viral Components at the Budding Site|R-HSA-168316|pathway|biological_process|GO_0019068|biological_process
GO:0036388|pathway_to_biological_process|Assembly of the pre-replicative complex|R-HSA-68867|pathway|biological_process|GO_0036388|biological_process
GO:0016255|pathway_to_biological_process|Attachment of GPI anchor to uPAR|R-HSA-162791|pathway|biological_process|GO_0016255|biological_process
GO:0044406|pathway_to_biological_process|Attachment of bacteria to epithelial cells|R-HSA-9638630|pathway|biological_process|GO_0044406|biological_process
GO:0006914|pathway_to_biological_process|Autophagy|R-HSA-9612973|pathway|biological_process|GO_0006914|biological_process
GO:0007411|pathway_to_biological_process|Axon guidance|R-HSA-422475|pathway|biological_process|GO_0007411|biological_process
GO:0050771|pathway_to_biological_process|Axonal growth inhibition (RHOA activation)|R-HSA-193634|pathway|biological_process|GO_0050771|biological_process
GO:0050772|pathway_to_biological_process|Axonal growth stimulation|R-HSA-209563|pathway|biological_process|GO_0050772|biological_process
GO:0051388|pathway_to_biological_process|BDNF activates NTRK2 (TRKB) signaling|R-HSA-9024909|pathway|biological_process|GO_0051388|biological_process
GO:2001244|pathway_to_biological_process|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|R-HSA-111453|pathway|biological_process|GO_2001244|biological_process
GO:0009617|pathway_to_biological_process|Bacterial Infection Pathways|R-HSA-9824439|pathway|biological_process|GO_0009617|biological_process
GO:0006284|pathway_to_biological_process|Base Excision Repair|R-HSA-73884|pathway|biological_process|GO_0006284|biological_process
GO:0006285|pathway_to_biological_process|Base-Excision Repair, AP Site Formation|R-HSA-73929|pathway|biological_process|GO_0006285|biological_process
GO:0035567|pathway_to_biological_process|Beta-catenin independent WNT signaling|R-HSA-3858494|pathway|biological_process|GO_0035567|biological_process
GO:0033540|pathway_to_biological_process|Beta-oxidation of pristanoyl-CoA|R-HSA-389887|pathway|biological_process|GO_0033540|biological_process
GO:0033540|pathway_to_biological_process|Beta-oxidation of very long chain fatty acids|R-HSA-390247|pathway|biological_process|GO_0033540|biological_process
GO:0015701|pathway_to_biological_process|Bicarbonate transporters|R-HSA-425381|pathway|biological_process|GO_0015701|biological_process
GO:0008206|pathway_to_biological_process|Bile acid and bile salt metabolism|R-HSA-194068|pathway|biological_process|GO_0008206|biological_process
GO:0006898|pathway_to_biological_process|Binding and Uptake of Ligands by Scavenger Receptors|R-HSA-2173782|pathway|biological_process|GO_0006898|biological_process
GO:0044409|pathway_to_biological_process|Binding and entry of HIV virion|R-HSA-173107|pathway|biological_process|GO_0044409|biological_process
GO:0042710|pathway_to_biological_process|Biofilm formation|R-HSA-9931953|pathway|biological_process|GO_0042710|biological_process
GO:0006805|pathway_to_biological_process|Biological oxidations|R-HSA-211859|pathway|biological_process|GO_0006805|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of DHA-derived SPMs|R-HSA-9018677|pathway|biological_process|GO_0042759|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of DPA-derived SPMs|R-HSA-9018683|pathway|biological_process|GO_0042759|biological_process
GO:0019372|pathway_to_biological_process|Biosynthesis of DPAn-3 SPMs|R-HSA-9025094|pathway|biological_process|GO_0019372|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of DPAn-3-derived 13-series resolvins|R-HSA-9026403|pathway|biological_process|GO_0042759|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of EPA-derived SPMs|R-HSA-9018679|pathway|biological_process|GO_0042759|biological_process
GO:2001301|pathway_to_biological_process|Biosynthesis of Lipoxins (LX)|R-HSA-2142700|pathway|biological_process|GO_2001301|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives|R-HSA-9027604|pathway|biological_process|GO_0042759|biological_process
GO:0050728|pathway_to_biological_process|Biosynthesis of specialized proresolving mediators (SPMs)|R-HSA-9018678|pathway|biological_process|GO_0050728|biological_process
GO:0006488|pathway_to_biological_process|Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein|R-HSA-446193|pathway|biological_process|GO_0006488|biological_process
GO:0006768|pathway_to_biological_process|Biotin transport and metabolism|R-HSA-196780|pathway|biological_process|GO_0006768|biological_process
GO:0009312|pathway_to_biological_process|Blood group systems biosynthesis|R-HSA-9033658|pathway|biological_process|GO_0009312|biological_process
GO:0009083|pathway_to_biological_process|Branched-chain amino acid catabolism|R-HSA-70895|pathway|biological_process|GO_0009083|biological_process
GO:0019068|pathway_to_biological_process|Budding|R-HSA-168302|pathway|biological_process|GO_0019068|biological_process
GO:0019058|pathway_to_biological_process|Budding and maturation of HIV virion|R-HSA-162588|pathway|biological_process|GO_0019058|biological_process
GO:0002223|pathway_to_biological_process|C-type lectin receptors (CLRs)|R-HSA-5621481|pathway|biological_process|GO_0002223|biological_process
GO:0010951|pathway_to_biological_process|CASP8 activity is inhibited|R-HSA-5218900|pathway|biological_process|GO_0010951|biological_process
GO:0002862|pathway_to_biological_process|CD163 mediating an anti-inflammatory response|R-HSA-9662834|pathway|biological_process|GO_0002862|biological_process
GO:0006890|pathway_to_biological_process|COPI-dependent Golgi-to-ER retrograde traffic|R-HSA-6811434|pathway|biological_process|GO_0006890|biological_process
GO:0048208|pathway_to_biological_process|COPII-mediated vesicle transport|R-HSA-204005|pathway|biological_process|GO_0048208|biological_process
GO:0006692|pathway_to_biological_process|COX reactions|R-HSA-140180|pathway|biological_process|GO_0006692|biological_process
GO:0007268|pathway_to_biological_process|CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling|R-HSA-442742|pathway|biological_process|GO_0007268|biological_process
GO:0007268|pathway_to_biological_process|CREB1 phosphorylation through the activation of Adenylate Cyclase|R-HSA-442720|pathway|biological_process|GO_0007268|biological_process
GO:0007268|pathway_to_biological_process|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde|R-HSA-442729|pathway|biological_process|GO_0007268|biological_process
GO:0050650|pathway_to_biological_process|CS-GAG biosynthesis|R-HSA-2022870|pathway|biological_process|GO_0050650|biological_process
GO:0030167|pathway_to_biological_process|CS/DS degradation|R-HSA-2024101|pathway|biological_process|GO_0030167|biological_process
GO:1901381|pathway_to_biological_process|Ca2+ activated K+ channels|R-HSA-1296052|pathway|biological_process|GO_1901381|biological_process
GO:0007223|pathway_to_biological_process|Ca2+ pathway|R-HSA-4086398|pathway|biological_process|GO_0007223|biological_process
GO:0061337|pathway_to_biological_process|Cardiac conduction|R-HSA-5576891|pathway|biological_process|GO_0061337|biological_process
GO:0060914|pathway_to_biological_process|Cardiogenesis|R-HSA-9733709|pathway|biological_process|GO_0060914|biological_process
GO:0006853|pathway_to_biological_process|Carnitine shuttle|R-HSA-200425|pathway|biological_process|GO_0006853|biological_process
GO:0045329|pathway_to_biological_process|Carnitine synthesis|R-HSA-71262|pathway|biological_process|GO_0045329|biological_process
GO:0010950|pathway_to_biological_process|Caspase activation via Death Receptors in the presence of ligand|R-HSA-140534|pathway|biological_process|GO_0010950|biological_process
GO:0097192|pathway_to_biological_process|Caspase activation via Dependence Receptors in the absence of ligand|R-HSA-418889|pathway|biological_process|GO_0097192|biological_process
GO:0097191|pathway_to_biological_process|Caspase activation via extrinsic apoptotic signalling pathway|R-HSA-5357769|pathway|biological_process|GO_0097191|biological_process
GO:0042423|pathway_to_biological_process|Catecholamine biosynthesis|R-HSA-209905|pathway|biological_process|GO_0042423|biological_process
GO:0031145|pathway_to_biological_process|Cdc20:Phospho-APC/C mediated degradation of Cyclin A|R-HSA-174184|pathway|biological_process|GO_0031145|biological_process
GO:0007049|pathway_to_biological_process|Cell Cycle|R-HSA-1640170|pathway|biological_process|GO_0007049|biological_process
GO:0000075|pathway_to_biological_process|Cell Cycle Checkpoints|R-HSA-69620|pathway|biological_process|GO_0000075|biological_process
GO:0000278|pathway_to_biological_process|Cell Cycle, Mitotic|R-HSA-69278|pathway|biological_process|GO_0000278|biological_process
GO:0097190|pathway_to_biological_process|Cell death signalling via NRAGE, NRIF and NADE|R-HSA-204998|pathway|biological_process|GO_0097190|biological_process
GO:0034329|pathway_to_biological_process|Cell junction organization|R-HSA-446728|pathway|biological_process|GO_0034329|biological_process
GO:0060326|pathway_to_biological_process|Cell recruitment (pro-inflammatory response)|R-HSA-9664424|pathway|biological_process|GO_0060326|biological_process
GO:0045454|pathway_to_biological_process|Cell redox homeostasis|R-HSA-1222541|pathway|biological_process|GO_0045454|biological_process
GO:0050900|pathway_to_biological_process|Cell surface interactions at the vascular wall|R-HSA-202733|pathway|biological_process|GO_0050900|biological_process
GO:0045216|pathway_to_biological_process|Cell-cell junction organization|R-HSA-421270|pathway|biological_process|GO_0045216|biological_process
GO:0090398|pathway_to_biological_process|Cellular Senescence|R-HSA-2559583|pathway|biological_process|GO_0090398|biological_process
GO:0008645|pathway_to_biological_process|Cellular hexose transport|R-HSA-189200|pathway|biological_process|GO_0008645|biological_process
GO:0062197|pathway_to_biological_process|Cellular response to chemical stress|R-HSA-9711123|pathway|biological_process|GO_0062197|biological_process
GO:0034605|pathway_to_biological_process|Cellular response to heat stress|R-HSA-3371556|pathway|biological_process|GO_0034605|biological_process
GO:0071456|pathway_to_biological_process|Cellular response to hypoxia|R-HSA-1234174|pathway|biological_process|GO_0071456|biological_process
GO:0098780|pathway_to_biological_process|Cellular response to mitochondrial stress|R-HSA-9840373|pathway|biological_process|GO_0098780|biological_process
GO:0009267|pathway_to_biological_process|Cellular response to starvation|R-HSA-9711097|pathway|biological_process|GO_0009267|biological_process
GO:0071260|pathway_to_biological_process|Cellular responses to mechanical stimuli|R-HSA-9855142|pathway|biological_process|GO_0071260|biological_process
GO:0051716|pathway_to_biological_process|Cellular responses to stimuli|R-HSA-8953897|pathway|biological_process|GO_0051716|biological_process
GO:0033554|pathway_to_biological_process|Cellular responses to stress|R-HSA-2262752|pathway|biological_process|GO_0033554|biological_process
GO:0097190|pathway_to_biological_process|Ceramide signalling|R-HSA-193681|pathway|biological_process|GO_0097190|biological_process
GO:0009893|pathway_to_biological_process|ChREBP activates metabolic gene expression|R-HSA-163765|pathway|biological_process|GO_0009893|biological_process
GO:0061684|pathway_to_biological_process|Chaperone Mediated Autophagy|R-HSA-9613829|pathway|biological_process|GO_0061684|biological_process
GO:0006457|pathway_to_biological_process|Chaperonin-mediated protein folding|R-HSA-390466|pathway|biological_process|GO_0006457|biological_process
GO:0006695|pathway_to_biological_process|Cholesterol biosynthesis|R-HSA-191273|pathway|biological_process|GO_0006695|biological_process
GO:0033489|pathway_to_biological_process|Cholesterol biosynthesis via desmosterol|R-HSA-6807047|pathway|biological_process|GO_0033489|biological_process
GO:0033490|pathway_to_biological_process|Cholesterol biosynthesis via lathosterol|R-HSA-6807062|pathway|biological_process|GO_0033490|biological_process
GO:0042426|pathway_to_biological_process|Choline catabolism|R-HSA-6798163|pathway|biological_process|GO_0042426|biological_process
GO:0006029|pathway_to_biological_process|Chondroitin sulfate/dermatan sulfate metabolism|R-HSA-1793185|pathway|biological_process|GO_0006029|biological_process
GO:0044725|pathway_to_biological_process|Chromatin modifications during the maternal to zygotic transition (MZT)|R-HSA-9821002|pathway|biological_process|GO_0044725|biological_process
GO:0006325|pathway_to_biological_process|Chromatin organization|R-HSA-4839726|pathway|biological_process|GO_0006325|biological_process
GO:0034378|pathway_to_biological_process|Chylomicron assembly|R-HSA-8963888|pathway|biological_process|GO_0034378|biological_process
GO:0034382|pathway_to_biological_process|Chylomicron clearance|R-HSA-8964026|pathway|biological_process|GO_0034382|biological_process
GO:0034371|pathway_to_biological_process|Chylomicron remodeling|R-HSA-8963901|pathway|biological_process|GO_0034371|biological_process
GO:0060271|pathway_to_biological_process|Cilium Assembly|R-HSA-5617833|pathway|biological_process|GO_0060271|biological_process
GO:0007623|pathway_to_biological_process|Circadian clock|R-HSA-9909396|pathway|biological_process|GO_0007623|biological_process
GO:0006099|pathway_to_biological_process|Citric acid cycle (TCA cycle)|R-HSA-71403|pathway|biological_process|GO_0006099|biological_process
GO:0007186|pathway_to_biological_process|Class A/1 (Rhodopsin-like receptors)|R-HSA-373076|pathway|biological_process|GO_0007186|biological_process
GO:0002474|pathway_to_biological_process|Class I MHC mediated antigen processing & presentation|R-HSA-983169|pathway|biological_process|GO_0002474|biological_process
GO:0045046|pathway_to_biological_process|Class I peroxisomal membrane protein import|R-HSA-9603798|pathway|biological_process|GO_0045046|biological_process
GO:0006958|pathway_to_biological_process|Classical antibody-mediated complement activation|R-HSA-173623|pathway|biological_process|GO_0006958|biological_process
GO:0009235|pathway_to_biological_process|Cobalamin (Cbl) metabolism|R-HSA-9759218|pathway|biological_process|GO_0009235|biological_process
GO:0015937|pathway_to_biological_process|Coenzyme A biosynthesis|R-HSA-196783|pathway|biological_process|GO_0015937|biological_process
GO:0030574|pathway_to_biological_process|Collagen degradation|R-HSA-1442490|pathway|biological_process|GO_0030574|biological_process
GO:0030199|pathway_to_biological_process|Collagen formation|R-HSA-1474290|pathway|biological_process|GO_0030199|biological_process
GO:0006956|pathway_to_biological_process|Complement cascade|R-HSA-166658|pathway|biological_process|GO_0006956|biological_process
GO:0032981|pathway_to_biological_process|Complex I biogenesis|R-HSA-6799198|pathway|biological_process|GO_0032981|biological_process
GO:0034551|pathway_to_biological_process|Complex III assembly|R-HSA-9865881|pathway|biological_process|GO_0034551|biological_process
GO:0033617|pathway_to_biological_process|Complex IV assembly|R-HSA-9864848|pathway|biological_process|GO_0033617|biological_process
GO:0007076|pathway_to_biological_process|Condensation of Prometaphase Chromosomes|R-HSA-2514853|pathway|biological_process|GO_0007076|biological_process
GO:0007076|pathway_to_biological_process|Condensation of Prophase Chromosomes|R-HSA-2299718|pathway|biological_process|GO_0007076|biological_process
GO:0006600|pathway_to_biological_process|Creatine metabolism|R-HSA-71288|pathway|biological_process|GO_0006600|biological_process
GO:0042407|pathway_to_biological_process|Cristae formation|R-HSA-8949613|pathway|biological_process|GO_0042407|biological_process
GO:0002479|pathway_to_biological_process|Cross-presentation of particulate exogenous antigens (phagosomes)|R-HSA-1236973|pathway|biological_process|GO_0002479|biological_process
GO:0002479|pathway_to_biological_process|Cross-presentation of soluble exogenous antigens (endosomes)|R-HSA-1236978|pathway|biological_process|GO_0002479|biological_process
GO:0030199|pathway_to_biological_process|Crosslinking of collagen fibrils|R-HSA-2243919|pathway|biological_process|GO_0030199|biological_process
GO:0045740|pathway_to_biological_process|Cyclin A:Cdk2-associated events at S phase entry|R-HSA-69656|pathway|biological_process|GO_0045740|biological_process
GO:0019346|pathway_to_biological_process|Cysteine formation from homocysteine|R-HSA-1614603|pathway|biological_process|GO_0019346|biological_process
GO:0034599|pathway_to_biological_process|Cytoprotection by HMOX1|R-HSA-9707564|pathway|biological_process|GO_0034599|biological_process
GO:0016226|pathway_to_biological_process|Cytosolic iron-sulfur cluster assembly|R-HSA-2564830|pathway|biological_process|GO_0016226|biological_process
GO:0032481|pathway_to_biological_process|Cytosolic sensors of pathogen-associated DNA |R-HSA-1834949|pathway|biological_process|GO_0032481|biological_process
GO:0050427|pathway_to_biological_process|Cytosolic sulfonation of small molecules|R-HSA-156584|pathway|biological_process|GO_0050427|biological_process
GO:0019985|pathway_to_biological_process|DNA Damage Bypass|R-HSA-73893|pathway|biological_process|GO_0019985|biological_process
GO:0000715|pathway_to_biological_process|DNA Damage Recognition in GG-NER|R-HSA-5696394|pathway|biological_process|GO_0000715|biological_process
GO:0006302|pathway_to_biological_process|DNA Double-Strand Break Repair|R-HSA-5693532|pathway|biological_process|GO_0006302|biological_process
GO:0006281|pathway_to_biological_process|DNA Repair|R-HSA-73894|pathway|biological_process|GO_0006281|biological_process
