db_reference|evidence|label|qualifier|source|source_id|source_type|source_url|target_id|target_type|taxon_id
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6I1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6I3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6I4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6I6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6I7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6I9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6I9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6J1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6J1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6J1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6J2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6J2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6J2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6J6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6J6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6J6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6J9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6J9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6J9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6K0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6K2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6K4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6K5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6K6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6K6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6L2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6L2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6L6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6L6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6N1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6N1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""PMID:21081917""]"|IDA|located_in|"[""part_of""]"|GOA|A0A075B6N1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042105|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6N2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6N2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6N3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6N3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6N4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6N4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6P5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6P5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6P5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6Q5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6Q5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6Q5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6R0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6R0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6R2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6R2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6R2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6R9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6R9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6R9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6S0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6S2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6S4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6S5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6S6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6S9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6S9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6T6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6T6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6T7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6T7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6T8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6T8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6U4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6U4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6U6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6U6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6V5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6V5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6W5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6W5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6X5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6X5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6Y3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B6Y3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B6Y9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B700|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B706|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B706|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042101|cellular_component|9606
"[""GO_REF:0000117""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B734|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000002""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B734|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016020|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B759|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005737|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B767|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005737|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7B6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7B6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B7B6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7B8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7B8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B7B8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7D0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7D0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B7D0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7D4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7D4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B7D4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7D8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7D8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B7D8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7E8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7E8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|GOA|A0A075B7E8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7F0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GOA|A0A075B7F0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005886|cellular_component|9606
