chr|end|id|source|source_url|start|taxon_id
chr1|1240967|CHR1_1240908_1240967_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1240908|9606
chr1|1273882|CHR1_1273823_1273882_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1273823|9606
chr1|1305988|CHR1_1305929_1305988_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1305929|9606
chr1|1307979|CHR1_1307920_1307979_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1307920|9606
chr1|1308198|CHR1_1308139_1308198_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1308139|9606
chr1|1308607|CHR1_1308548_1308607_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1308548|9606
chr1|1309879|CHR1_1309820_1309879_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1309820|9606
chr1|1312773|CHR1_1312714_1312773_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1312714|9606
chr1|1324709|CHR1_1324650_1324709_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1324650|9606
chr1|1349178|CHR1_1349119_1349178_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1349119|9606
chr1|1358592|CHR1_1358533_1358592_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1358533|9606
chr1|1375231|CHR1_1375172_1375231_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1375172|9606
chr1|1375548|CHR1_1375489_1375548_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1375489|9606
chr1|1399363|CHR1_1399304_1399363_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1399304|9606
chr1|1407342|CHR1_1407283_1407342_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1407283|9606
chr1|1421394|CHR1_1421335_1421394_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1421335|9606
chr1|1435700|CHR1_1435641_1435700_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1435641|9606
chr1|1462479|CHR1_1462420_1462479_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1462420|9606
chr1|1471791|CHR1_1471732_1471791_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1471732|9606
chr1|1512172|CHR1_1512113_1512172_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1512113|9606
chr1|1574653|CHR1_1574594_1574653_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1574594|9606
chr1|1574912|CHR1_1574853_1574912_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1574853|9606
chr1|1615526|CHR1_1615467_1615526_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1615467|9606
chr1|1632198|CHR1_1632139_1632198_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1632139|9606
chr1|1657452|CHR1_1657393_1657452_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1657393|9606
chr1|1659021|CHR1_1658962_1659021_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1658962|9606
chr1|1659258|CHR1_1659199_1659258_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1659199|9606
chr1|1692556|CHR1_1692497_1692556_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1692497|9606
chr1|1692758|CHR1_1692699_1692758_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1692699|9606
chr1|1692871|CHR1_1692812_1692871_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1692812|9606
chr1|1708939|CHR1_1708880_1708939_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1708880|9606
chr1|1719501|CHR1_1719442_1719501_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1719442|9606
chr1|1721717|CHR1_1721658_1721717_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1721658|9606
chr1|1724383|CHR1_1724324_1724383_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1724324|9606
chr1|1727766|CHR1_1727707_1727766_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1727707|9606
chr1|1745831|CHR1_1745772_1745831_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1745772|9606
chr1|1746051|CHR1_1745992_1746051_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1745992|9606
chr1|1746326|CHR1_1746267_1746326_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1746267|9606
chr1|1778498|CHR1_1778439_1778498_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1778439|9606
chr1|1778864|CHR1_1778805_1778864_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1778805|9606
chr1|1780080|CHR1_1780021_1780080_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1780021|9606
chr1|1780563|CHR1_1780504_1780563_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1780504|9606
chr1|1890903|CHR1_1890844_1890903_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1890844|9606
chr1|1891119|CHR1_1891060_1891119_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1891060|9606
chr1|1918849|CHR1_1918790_1918849_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1918790|9606
chr1|1919328|CHR1_1919269_1919328_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1919269|9606
chr1|2003835|CHR1_2003776_2003835_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2003776|9606
chr1|2019370|CHR1_2019311_2019370_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2019311|9606
chr1|2048565|CHR1_2048506_2048565_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2048506|9606
chr1|2050421|CHR1_2050362_2050421_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2050362|9606
chr1|2073558|CHR1_2073499_2073558_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2073499|9606
chr1|2073674|CHR1_2073615_2073674_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2073615|9606
chr1|2145397|CHR1_2145338_2145397_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2145338|9606
chr1|2194821|CHR1_2194762_2194821_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2194762|9606
chr1|2228699|CHR1_2228640_2228699_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2228640|9606
chr1|2391603|CHR1_2391544_2391603_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2391544|9606
chr1|2391852|CHR1_2391793_2391852_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2391793|9606
chr1|2412592|CHR1_2412533_2412592_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2412533|9606
chr1|2413860|CHR1_2413801_2413860_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2413801|9606
chr1|2415959|CHR1_2415900_2415959_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2415900|9606
chr1|2476331|CHR1_2476272_2476331_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2476272|9606
chr1|2526645|CHR1_2526586_2526645_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2526586|9606
chr1|2530312|CHR1_2530253_2530312_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2530253|9606
chr1|2554304|CHR1_2554245_2554304_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2554245|9606
chr1|2556381|CHR1_2556322_2556381_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2556322|9606
chr1|2556573|CHR1_2556514_2556573_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2556514|9606
chr1|2586533|CHR1_2586474_2586533_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2586474|9606
chr1|2586808|CHR1_2586749_2586808_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2586749|9606
chr1|2629456|CHR1_2629397_2629456_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2629397|9606
chr1|2633039|CHR1_2632980_2633039_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|2632980|9606
chr1|3068720|CHR1_3068661_3068720_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3068661|9606
chr1|3069213|CHR1_3069154_3069213_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3069154|9606
chr1|3116301|CHR1_3116242_3116301_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3116242|9606
chr1|3471634|CHR1_3471575_3471634_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3471575|9606
chr1|3531460|CHR1_3531401_3531460_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3531401|9606
chr1|3611545|CHR1_3611486_3611545_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3611486|9606
chr1|3619628|CHR1_3619569_3619628_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3619569|9606
chr1|3624828|CHR1_3624769_3624828_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3624769|9606
chr1|3625044|CHR1_3624985_3625044_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3624985|9606
chr1|3650152|CHR1_3650093_3650152_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3650093|9606
chr1|3652526|CHR1_3652467_3652526_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3652467|9606
chr1|3690682|CHR1_3690623_3690682_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3690623|9606
chr1|3698056|CHR1_3697997_3698056_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3697997|9606
chr1|3752460|CHR1_3752401_3752460_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3752401|9606
chr1|3772665|CHR1_3772606_3772665_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3772606|9606
chr1|3796543|CHR1_3796484_3796543_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3796484|9606
chr1|3857260|CHR1_3857201_3857260_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3857201|9606
chr1|3857296|CHR1_3857237_3857296_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3857237|9606
chr1|3857486|CHR1_3857427_3857486_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3857427|9606
chr1|3900307|CHR1_3900248_3900307_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|3900248|9606
chr1|4655222|CHR1_4655163_4655222_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|4655163|9606
chr1|5992434|CHR1_5992375_5992434_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|5992375|9606
chr1|5992474|CHR1_5992415_5992474_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|5992415|9606
chr1|6025997|CHR1_6025938_6025997_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6025938|9606
chr1|6026343|CHR1_6026284_6026343_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6026284|9606
chr1|6180173|CHR1_6180114_6180173_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6180114|9606
chr1|6199643|CHR1_6199584_6199643_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6199584|9606
chr1|6206129|CHR1_6206070_6206129_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6206070|9606
chr1|6236013|CHR1_6235954_6236013_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6235954|9606
chr1|6259488|CHR1_6259429_6259488_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6259429|9606
chr1|6261113|CHR1_6261054_6261113_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6261054|9606
chr1|6358978|CHR1_6358919_6358978_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6358919|9606
chr1|6360750|CHR1_6360691_6360750_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6360691|9606
chr1|6385846|CHR1_6385787_6385846_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6385787|9606
chr1|6393426|CHR1_6393367_6393426_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6393367|9606
chr1|6393816|CHR1_6393757_6393816_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6393757|9606
chr1|6419968|CHR1_6419909_6419968_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6419909|9606
chr1|6424730|CHR1_6424671_6424730_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6424671|9606
chr1|6424786|CHR1_6424727_6424786_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6424727|9606
chr1|6448098|CHR1_6448039_6448098_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6448039|9606
chr1|6448501|CHR1_6448442_6448501_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6448442|9606
chr1|6466201|CHR1_6466142_6466201_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6466142|9606
chr1|6469172|CHR1_6469113_6469172_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6469113|9606
chr1|6485516|CHR1_6485457_6485516_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6485457|9606
chr1|6490629|CHR1_6490570_6490629_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6490570|9606
chr1|6497473|CHR1_6497414_6497473_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6497414|9606
chr1|6520111|CHR1_6520052_6520111_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6520052|9606
chr1|6554562|CHR1_6554503_6554562_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6554503|9606
chr1|6580006|CHR1_6579947_6580006_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6579947|9606
chr1|6599887|CHR1_6599828_6599887_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6599828|9606
chr1|6602918|CHR1_6602859_6602918_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6602859|9606
chr1|6603740|CHR1_6603681_6603740_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6603681|9606
chr1|6613765|CHR1_6613706_6613765_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6613706|9606
chr1|6624880|CHR1_6624821_6624880_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6624821|9606
chr1|6625193|CHR1_6625134_6625193_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6625134|9606
chr1|6680993|CHR1_6680934_6680993_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6680934|9606
chr1|6701871|CHR1_6701812_6701871_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6701812|9606
chr1|6785464|CHR1_6785405_6785464_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|6785405|9606
chr1|7771306|CHR1_7771247_7771306_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|7771247|9606
chr1|7784301|CHR1_7784242_7784301_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|7784242|9606
chr1|7784437|CHR1_7784378_7784437_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|7784378|9606
chr1|7784657|CHR1_7784598_7784657_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|7784598|9606
chr1|7853114|CHR1_7853055_7853114_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|7853055|9606
chr1|7913298|CHR1_7913239_7913298_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|7913239|9606
chr1|7940886|CHR1_7940827_7940886_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|7940827|9606
chr1|7954208|CHR1_7954149_7954208_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|7954149|9606
chr1|7961721|CHR1_7961662_7961721_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|7961662|9606
chr1|8026358|CHR1_8026299_8026358_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|8026299|9606
chr1|8423758|CHR1_8423699_8423758_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|8423699|9606
chr1|8817689|CHR1_8817630_8817689_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|8817630|9606
chr1|8818052|CHR1_8817993_8818052_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|8817993|9606
chr1|8878735|CHR1_8878676_8878735_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|8878676|9606
chr1|8945878|CHR1_8945819_8945878_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|8945819|9606
chr1|9069684|CHR1_9069625_9069684_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9069625|9606
chr1|9129151|CHR1_9129092_9129151_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9129092|9606
chr1|9182152|CHR1_9182093_9182152_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9182093|9606
chr1|9182346|CHR1_9182287_9182346_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9182287|9606
chr1|9234784|CHR1_9234725_9234784_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9234725|9606
chr1|9239857|CHR1_9239798_9239857_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9239798|9606
chr1|9292904|CHR1_9292845_9292904_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9292845|9606
chr1|9347978|CHR1_9347919_9347978_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9347919|9606
chr1|9539499|CHR1_9539440_9539499_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9539440|9606
chr1|9588921|CHR1_9588862_9588921_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9588862|9606
chr1|9630030|CHR1_9629971_9630030_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9629971|9606
chr1|9651741|CHR1_9651682_9651741_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9651682|9606
chr1|9664105|CHR1_9664046_9664105_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9664046|9606
chr1|9824009|CHR1_9823950_9824009_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9823950|9606
chr1|9877996|CHR1_9877937_9877996_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9877937|9606
chr1|9910304|CHR1_9910245_9910304_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9910245|9606
chr1|9942848|CHR1_9942789_9942848_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9942789|9606
chr1|9943376|CHR1_9943317_9943376_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9943317|9606
chr1|9943485|CHR1_9943426_9943485_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9943426|9606
chr1|9997238|CHR1_9997179_9997238_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|9997179|9606
chr1|10032968|CHR1_10032909_10032968_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10032909|9606
chr1|10232249|CHR1_10232190_10232249_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10232190|9606
chr1|10232372|CHR1_10232313_10232372_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10232313|9606
chr1|10399074|CHR1_10399015_10399074_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10399015|9606
chr1|10430453|CHR1_10430394_10430453_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10430394|9606
chr1|10430762|CHR1_10430703_10430762_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10430703|9606
chr1|10433855|CHR1_10433796_10433855_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10433796|9606
chr1|10450167|CHR1_10450108_10450167_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10450108|9606
chr1|10472575|CHR1_10472516_10472575_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10472516|9606
chr1|10473024|CHR1_10472965_10473024_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10472965|9606
chr1|10474964|CHR1_10474905_10474964_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10474905|9606
chr1|10694595|CHR1_10694536_10694595_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10694536|9606
chr1|10796668|CHR1_10796609_10796668_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|10796609|9606
chr1|11012337|CHR1_11012278_11012337_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11012278|9606
chr1|11012669|CHR1_11012610_11012669_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11012610|9606
chr1|11013811|CHR1_11013752_11013811_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11013752|9606
chr1|11022674|CHR1_11022615_11022674_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11022615|9606
chr1|11023344|CHR1_11023285_11023344_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11023285|9606
chr1|11047288|CHR1_11047229_11047288_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11047229|9606
chr1|11060067|CHR1_11060008_11060067_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11060008|9606
chr1|11099900|CHR1_11099841_11099900_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11099841|9606
chr1|11189365|CHR1_11189306_11189365_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11189306|9606
chr1|11262589|CHR1_11262530_11262589_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11262530|9606
chr1|11273236|CHR1_11273177_11273236_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11273177|9606
chr1|11273520|CHR1_11273461_11273520_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11273461|9606
chr1|11479165|CHR1_11479106_11479165_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11479106|9606
chr1|11479326|CHR1_11479267_11479326_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11479267|9606
chr1|11488235|CHR1_11488176_11488235_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11488176|9606
chr1|11654478|CHR1_11654419_11654478_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11654419|9606
chr1|11654535|CHR1_11654476_11654535_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11654476|9606
chr1|11654703|CHR1_11654644_11654703_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11654644|9606
chr1|11654887|CHR1_11654828_11654887_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11654828|9606
chr1|11654898|CHR1_11654839_11654898_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|11654839|9606
