chr|end|id|source|source_url|start
chr1|47750000|CHR1_47400000_47750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|47400000
chr1|48100000|CHR1_47750000_48100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|47750000
chr1|50400000|CHR1_48100000_50400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|48100000
chr1|51300000|CHR1_50400000_51300000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|50400000
chr1|51850000|CHR1_51350000_51850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|51350000
chr1|52050000|CHR1_51850000_52050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|51850000
chr1|52400000|CHR1_52050000_52400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|52050000
chr1|53200000|CHR1_52400000_53200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|52400000
chr1|53850000|CHR1_53250000_53850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|53250000
chr1|55000000|CHR1_53850000_55000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|53850000
chr1|56800000|CHR1_55050000_56800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|55050000
chr1|58450000|CHR1_56800000_58450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|56800000
chr1|59900000|CHR1_58500000_59900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|58500000
chr1|60850000|CHR1_59950000_60850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|59950000
chr1|62100000|CHR1_60850000_62100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|60850000
chr1|62450000|CHR1_62150000_62450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|62150000
chr1|62850000|CHR1_62450000_62850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|62450000
chr1|63600000|CHR1_62850000_63600000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|62850000
chr1|64300000|CHR1_63600000_64300000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|63600000
chr1|65050000|CHR1_64300000_65050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|64300000
chr1|65750000|CHR1_65050000_65750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|65050000
chr1|65900000|CHR1_65750000_65900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|65750000
chr1|66750000|CHR1_65900000_66750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|65900000
chr1|67500000|CHR1_66750000_67500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|66750000
chr1|67850000|CHR1_67550000_67850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|67550000
chr1|68400000|CHR1_67850000_68400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|67850000
chr1|70550000|CHR1_68400000_70550000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|68400000
chr1|71050000|CHR1_70550000_71050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|70550000
chr1|74750000|CHR1_71100000_74750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|71100000
chr1|75250000|CHR1_74750000_75250000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|74750000
chr1|75850000|CHR1_75250000_75850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|75250000
chr1|77150000|CHR1_75850000_77150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|75850000
chr1|78000000|CHR1_77150000_78000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|77150000
chr1|78100000|CHR1_78000000_78100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|78000000
chr1|78700000|CHR1_78150000_78700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|78150000
chr1|79250000|CHR1_78700000_79250000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|78700000
chr1|80200000|CHR1_79250000_80200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|79250000
chr1|81800000|CHR1_80200000_81800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|80200000
chr1|83850000|CHR1_81800000_83850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|81800000
chr1|85300000|CHR1_83900000_85300000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|83900000
chr1|86350000|CHR1_85300000_86350000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|85300000
chr1|86750000|CHR1_86350000_86750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|86350000
chr1|87100000|CHR1_86750000_87100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|86750000
chr1|88950000|CHR1_87100000_88950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|87100000
chr1|89500000|CHR1_88950000_89500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|88950000
chr1|90000000|CHR1_89500000_90000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|89500000
chr1|91300000|CHR1_90050000_91300000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|90050000
chr1|91500000|CHR1_91300000_91500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|91300000
chr1|92000000|CHR1_91500000_92000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|91500000
chr1|92300000|CHR1_92000000_92300000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|92000000
chr1|92800000|CHR1_92300000_92800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|92300000
chr1|93900000|CHR1_92850000_93900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|92850000
chr1|94450000|CHR1_93900000_94450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|93900000
chr1|95100000|CHR1_94500000_95100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|94500000
chr1|96950000|CHR1_95100000_96950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|95100000
chr1|98600000|CHR1_96950000_98600000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|96950000
chr1|99750000|CHR1_98800000_99750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|98800000
chr1|100850000|CHR1_99750000_100850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|99750000
chr1|101400000|CHR1_100900000_101400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|100900000
chr1|107750000|CHR1_103750000_107750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|103750000
chr1|108500000|CHR1_107800000_108500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|107800000
chr1|108800000|CHR1_108500000_108800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|108500000
chr1|109500000|CHR1_108800000_109500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|108800000
chr1|110050000|CHR1_109600000_110050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|109600000
chr1|110500000|CHR1_110100000_110500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|110100000
chr1|111500000|CHR1_110550000_111500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|110550000
chr1|111800000|CHR1_111500000_111800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|111500000
chr1|112400000|CHR1_111800000_112400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|111800000
chr1|112750000|CHR1_112400000_112750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|112400000
chr1|113150000|CHR1_112750000_113150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|112750000
chr1|113800000|CHR1_113150000_113800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|113150000
chr1|113950000|CHR1_113800000_113950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|113800000
chr1|114850000|CHR1_114000000_114850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|114000000
chr1|116150000|CHR1_115150000_116150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|115150000
chr1|116600000|CHR1_116150000_116600000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|116150000
chr1|117100000|CHR1_116600000_117100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|116600000
chr1|117950000|CHR1_117100000_117950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|117100000
chr1|119750000|CHR1_118000000_119750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|118000000
chr1|120150000|CHR1_119750000_120150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|119750000
chr1|146150000|CHR1_145650000_146150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|145650000
chr1|150200000|CHR1_149850000_150200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|149850000
chr1|151250000|CHR1_150250000_151250000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|150250000
chr1|152050000|CHR1_151450000_152050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|151450000
chr1|152500000|CHR1_152050000_152500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|152050000
chr1|153350000|CHR1_152500000_153350000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|152500000
chr1|153500000|CHR1_153350000_153500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|153350000
chr1|154200000|CHR1_153500000_154200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|153500000
chr1|155150000|CHR1_154300000_155150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|154300000
chr1|156900000|CHR1_155200000_156900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|155200000
chr1|158150000|CHR1_157100000_158150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|157100000
chr1|159150000|CHR1_158150000_159150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|158150000
chr1|160100000|CHR1_159150000_160100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|159150000
chr1|161050000|CHR1_160100000_161050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|160100000
chr1|161200000|CHR1_161050000_161200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|161050000
chr1|161450000|CHR1_161200000_161450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|161200000
chr1|161800000|CHR1_161450000_161800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|161450000
chr1|162850000|CHR1_161800000_162850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|161800000
chr1|163300000|CHR1_162850000_163300000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|162850000
chr1|165150000|CHR1_163350000_165150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|163350000
chr1|165350000|CHR1_165250000_165350000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|165250000
chr1|165950000|CHR1_165350000_165950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|165350000
chr1|166850000|CHR1_165950000_166850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|165950000
chr1|167750000|CHR1_166850000_167750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|166850000
chr1|168100000|CHR1_167750000_168100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|167750000
chr1|168200000|CHR1_168100000_168200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|168100000
chr1|168350000|CHR1_168250000_168350000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|168250000
chr1|169850000|CHR1_168350000_169850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|168350000
chr1|171500000|CHR1_169850000_171500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|169850000
chr1|172450000|CHR1_171600000_172450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|171600000
chr1|172750000|CHR1_172550000_172750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|172550000
chr1|173250000|CHR1_172750000_173250000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|172750000
chr1|173450000|CHR1_173250000_173450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|173250000
chr1|174200000|CHR1_173450000_174200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|173450000
chr1|175000000|CHR1_174250000_175000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|174250000
chr1|176300000|CHR1_175050000_176300000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|175050000
chr1|176900000|CHR1_176300000_176900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|176300000
chr1|178000000|CHR1_176900000_178000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|176900000
chr1|178300000|CHR1_178000000_178300000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|178000000
chr1|179050000|CHR1_178300000_179050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|178300000
chr1|179800000|CHR1_179050000_179800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|179050000
chr1|180250000|CHR1_179850000_180250000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|179850000
chr1|180450000|CHR1_180250000_180450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|180250000
chr1|180900000|CHR1_180500000_180900000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|180500000
chr1|181150000|CHR1_180900000_181150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|180900000
chr1|182100000|CHR1_181200000_182100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|181200000
chr1|182850000|CHR1_182100000_182850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|182100000
chr1|183650000|CHR1_182850000_183650000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|182850000
chr1|183950000|CHR1_183650000_183950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|183650000
chr1|184700000|CHR1_183950000_184700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|183950000
chr1|185750000|CHR1_184750000_185750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|184750000
chr1|186350000|CHR1_185750000_186350000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|185750000
chr1|187000000|CHR1_186400000_187000000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|186400000
chr1|190500000|CHR1_187050000_190500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|187050000
chr1|192500000|CHR1_190500000_192500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|190500000
chr1|193150000|CHR1_192500000_193150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|192500000
chr1|194350000|CHR1_193150000_194350000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|193150000
chr1|196150000|CHR1_194350000_196150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|194350000
chr1|196750000|CHR1_196150000_196750000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|196150000
chr1|197400000|CHR1_196750000_197400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|196750000
chr1|197950000|CHR1_197400000_197950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|197400000
chr1|198700000|CHR1_197950000_198700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|197950000
chr1|199600000|CHR1_198750000_199600000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|198750000
chr1|200600000|CHR1_199700000_200600000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|199700000
chr1|201200000|CHR1_200600000_201200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|200600000
chr1|201450000|CHR1_201200000_201450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|201200000
chr1|201850000|CHR1_201450000_201850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|201450000
chr1|202150000|CHR1_201950000_202150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|201950000
chr1|203050000|CHR1_202150000_203050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|202150000
chr1|203800000|CHR1_203050000_203800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|203050000
chr1|204550000|CHR1_203850000_204550000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|203850000
chr1|205600000|CHR1_204550000_205600000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|204550000
chr1|207050000|CHR1_206500000_207050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|206500000
chr1|207850000|CHR1_207050000_207850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|207050000
chr1|209850000|CHR1_207850000_209850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|207850000
chr1|210400000|CHR1_209850000_210400000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|209850000
chr1|211250000|CHR1_210400000_211250000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|210400000
chr1|211700000|CHR1_211300000_211700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|211300000
chr1|212050000|CHR1_211700000_212050000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|211700000
chr1|212500000|CHR1_212050000_212500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|212050000
chr1|213100000|CHR1_212500000_213100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|212500000
chr1|214200000|CHR1_213100000_214200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|213100000
chr1|214600000|CHR1_214200000_214600000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|214200000
chr1|215650000|CHR1_214650000_215650000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|214650000
chr1|218200000|CHR1_215650000_218200000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|215650000
chr1|219850000|CHR1_218250000_219850000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|218250000
chr1|219950000|CHR1_219850000_219950000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|219850000
chr1|220800000|CHR1_219950000_220800000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|219950000
chr1|222500000|CHR1_220800000_222500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|220800000
chr1|222700000|CHR1_222500000_222700000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|222500000
chr1|223100000|CHR1_222800000_223100000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|222800000
chr1|224500000|CHR1_223750000_224500000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|223750000
chr1|225450000|CHR1_224500000_225450000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|224500000
chr1|226150000|CHR1_225450000_226150000_GRCH38|TADMap|https://cb.csail.mit.edu/cb/tadmap/|225450000
