alternative_ids|id|synonym|term_name
|UBERON_5003635|"[""pedal digit 5 digitopodial subdivision"", ""pedal digit 5 ray"", ""pedal digit V plus metapodial segment""]"|pedal digit 5 plus metapodial segment
|UBERON_0018257||submucosa of digestive tract
|UBERON_0004916|"[""anal region sphincter"", ""sphincter analia""]"|anal sphincter
|UBERON_0013769|"[""cavity of uterus"", ""uterine cavity"", ""uterine space""]"|uterine lumen
|UBERON_0002527|"[""aJCC level 19 node"", ""pyloric lymph node"", ""lymph node of pancreas"", ""pancreas lymph node"", ""pancreatic node""]"|pancreatic lymph node
|UBERON_0007155|"[""venae epigastricae superiores""]"|superior epigastric vein
|UBERON_0001472|"[""plexus venosus vaginalis"", ""venous vaginal plexus""]"|vaginal venous plexus
|UBERON_0013069|"[""knee pit"", ""popliteal region"", ""popliteal space"", ""popliteal fossa""]"|popliteal area
|UBERON_0001723|"[""glossus""]"|tongue
|UBERON_0008258|"[""actinal side"", ""actinal subdivision"", ""actinal surface"", ""oral side"", ""oral side of organism"", ""oral subdivision""]"|oral subdivision of organism
|UBERON_0003923|"[""dorsal pancreas anlage"", ""dorsal pancreatic anlage"", ""posterior pancreatic anlage"", ""posterior pancreatic bud"", ""pancreas dorsal primordium duct bud"", ""pancreas primordium dorsal bud"", ""primary pancreatic bud""]"|dorsal pancreatic bud
|UBERON_0006321|"[""M. obliquus superior"", ""dorsal oblique extraocular muscles"", ""musculus obliquus superior bulbi"", ""obliquus oculi superior"", ""dorsal oblique extraocular muscle"", ""musculus obliquus superior"", ""obliquus superior"", ""superior oblique"", ""superior oblique muscle""]"|superior oblique extraocular muscle
|UBERON_0000914|"[""segment"", ""serial element""]"|organismal segment
"[""UBERON:0008872""]"|UBERON_0004894|"[""alveolus wall"", ""pulmonary alveolar wall"", ""pulmonary interalveolar septum"", ""wall of pulmonary alveolus""]"|alveolar wall
|UBERON_6005913||insect arista lateral
|UBERON_0013627|"[""hypothenar pad""]"|lateral metatarsal pad
|UBERON_0006475|"[""B09-31"", ""BA31"", ""Brodmann (1909) area 31"", ""Brodmann area 31"", ""Brodmann area 31, dorsal posterior cingulate"", ""Brodmanns area 31"", ""area 31 of Brodmann"", ""area 31 of Brodmann-1909"", ""area cingularis posterior dorsalis"", ""cinguloparietal transition area"", ""dorsal posterior cingulate area 31""]"|Brodmann (1909) area 31
|UBERON_0014609|"[""thoracic spinal cord posterior horn"", ""thoracic spinal cord dorsal horn""]"|thoracic spinal cord dorsal horn
|UBERON_8470002|"[""septomarginal trabecula""]"|moderator band
|UBERON_3010602||granular gland
|UBERON_0000463|"[""body fluid or substance"", ""body substance"", ""organism substance"", ""portion of body substance"", ""portion of organism substance""]"|organism substance
|UBERON_0005463|"[""lymph path"", ""lymph sinus"", ""marginal sinus of lymph node"", ""subcapsular sinus"", ""lymph node subcortical sinus""]"|subcapsular sinus of lymph node
|UBERON_4500004||adipose fin skeleton
|UBERON_0004437|"[""basal epiphysis of middle phalanx of middle finger"", ""base of middle phalanx of middle finger"", ""base of middle phalanx of third digit of hand"", ""base of middle phalanx of third finger"", ""proximal epiphysis of middle phalanx of manual digit III""]"|proximal epiphysis of middle phalanx of manual digit 3
|UBERON_0036168||Hallers layer
|UBERON_0005580|"[""lateral wall rhombomere 5""]"|rhombomere 5 lateral wall
|UBERON_0011809|"[""epidermal collar of feather follicle"", ""follicle collar of feather follicle""]"|inner epidermal layer of feather follicle
|UBERON_0014786|"[""extraembryonic umbilical vein""]"|extraembryonic umbilical vein
|UBERON_0006301||telencephalic part of interventricular foramen
|UBERON_0005620|"[""palatum primarium"", ""primary palate"", ""primitive palate"", ""processus palatinus medianus"", ""primary palate process""]"|primary palate
|UBERON_0013556|"[""BA25"", ""area 25 of Brodmann (guenon)"", ""B09-25"", ""Brodmann (1909) area 25"", ""Brodmann area 25"", ""Brodmann area 25, subgenual"", ""Brodmanns area 25"", ""area 25 of Brodmann"", ""area 25 of Brodmann-1909"", ""area subgenualis""]"|Brodmann (1909) area 25
|UBERON_0007153|"[""a. epigastrica superior""]"|superior epigastric artery
|UBERON_0009593|"[""interdigital region between toes 4 and 5 mesenchyme"", ""mesenchyme of interdigital region between pedal digits IV and V""]"|mesenchyme of interdigital region between pedal digits 4 and 5
|UBERON_0007656|"[""fourth ventricle lateral recess"", ""lateral recess of the 4th ventricle"", ""recessus lateralis ventriculi quarti"", ""recessus lateralis (ventriculi quarti)""]"|lateral recess of fourth ventricle
|UBERON_0001664|"[""small cerebral vein""]"|inferior cerebral vein
|UBERON_2002020||hypomaxilla
|UBERON_0003161|"[""dorsal ocelli"", ""ocelli"", ""ocellus""]"|dorsal ocellus
|UBERON_8600075||transverse cervical vein
"[""UBERON:0005131""]"|UBERON_0005151||metanephric proximal tubule
|UBERON_0013551|"[""BA20"", ""area 20 of Brodmann (guenon)"", ""brodmanns area 20"", ""B09-20"", ""Brodmann (1909) area 20"", ""Brodmann area 20"", ""Brodmann area 20, inferior temporal"", ""area 20 of Brodmann"", ""area 20 of Brodmann-1909"", ""area temporalis inferior"", ""inferior temporal area""]"|Brodmann (1909) area 20
|UBERON_0005890|"[""coelomic epithelium"", ""gonad coelomic epithelium"", ""surface epithelium"", ""germinal epithelium""]"|gonad germinal epithelium
|UBERON_0004105||subungual region
|UBERON_0000018|"[""Facettenauge"", ""Komplexauge"", ""adult compound eye"", ""faceted eye"", ""insect eye"", ""zusammengesetztes Auge""]"|compound eye
|UBERON_3000586||superior prenasal cartilage
|UBERON_0006195|"[""left renal sinus""]"|renal sinus of left kidney
|UBERON_0011922|"[""basement membrane of cochlear labyrinth"", ""cochlea basement membrane""]"|cochlear basement membrane
|UBERON_0001476|"[""common shoulder muscle"", ""deltoideus"", ""deltoideus muscle"", ""musculus deltoideus"", ""deltoid muscle"", ""m. deltoideus"", ""musculus deltoideus""]"|deltoid
|UBERON_2001976||interorbital septum
|UBERON_0014410|"[""peroneus digiti IV"", ""fibularis quartus muscle"", ""peroneus digiti quarti"", ""peroneus quartus"", ""peroneus quartus muscle""]"|fibularis quartus
|UBERON_0005643||foregut duodenum epithelium
|UBERON_4300134||lateral commissure
|UBERON_0003131||arthropod tibia
|UBERON_8410019|"[""jejunoileal junction""]"|jejuno-ileal junction
|UBERON_0010882||limb bone pre-cartilage condensation
|UBERON_3000515||pseudoangular
|UBERON_2000617||anal erector
|UBERON_0003558|"[""arachnoid mater of between brain"", ""arachnoid mater of diencephalon"", ""arachnoid mater of interbrain"", ""arachnoid mater of mature diencephalon"", ""arachnoid mater of neuraxis of between brain"", ""arachnoid mater of neuraxis of diencephalon"", ""arachnoid mater of neuraxis of interbrain"", ""arachnoid mater of neuraxis of mature diencephalon"", ""arachnoid of between brain"", ""arachnoid of diencephalon"", ""arachnoid of interbrain"", ""arachnoid of mature diencephalon"", ""between brain arachnoid"", ""between brain arachnoid mater"", ""between brain arachnoid mater of neuraxis"", ""diencephalon arachnoid"", ""diencephalon arachnoid mater of neuraxis"", ""interbrain arachnoid"", ""interbrain arachnoid mater"", ""interbrain arachnoid mater of neuraxis"", ""mature diencephalon arachnoid"", ""mature diencephalon arachnoid mater"", ""mature diencephalon arachnoid mater of neuraxis""]"|diencephalon arachnoid mater
