chr|end|id|rna_type|source|source_url|start|taxon_id
chr1|31097|URS0000268115|lncRNA|RNAcentral|https://rnacentral.org/downloads|29554|9606
chr1|31295|URS00023388CD|lncRNA|RNAcentral|https://rnacentral.org/downloads|29926|9606
chr1|31419|URS0002526ACA|sRNA|RNAcentral|https://rnacentral.org/downloads|29933|9606
chr1|31109|URS000000192A|lncRNA|RNAcentral|https://rnacentral.org/downloads|30266|9606
chr1|31109|URS000000192A|lncRNA|RNAcentral|https://rnacentral.org/downloads|30267|9606
chr1|30503|URS000075CC93|pre_miRNA|RNAcentral|https://rnacentral.org/downloads|30366|9606
chr1|31110|URS00025C44F9|lncRNA|RNAcentral|https://rnacentral.org/downloads|30380|9606
chr1|30457|URS0000664B70|pre_miRNA|RNAcentral|https://rnacentral.org/downloads|30408|9606
chr1|30458|URS0000442977|miRNA|RNAcentral|https://rnacentral.org/downloads|30438|9606
chr1|32160|URS00001F7750|piRNA|RNAcentral|https://rnacentral.org/downloads|32134|9606
chr1|36081|URS00002D7B9C|lncRNA|RNAcentral|https://rnacentral.org/downloads|34553|9606
chr1|37595|URS0002A3B2F5|lncRNA|RNAcentral|https://rnacentral.org/downloads|34553|9606
chr1|36077|URS000259E6CA|sRNA|RNAcentral|https://rnacentral.org/downloads|34554|9606
chr1|36081|URS00002D7B9C|lncRNA|RNAcentral|https://rnacentral.org/downloads|34554|9606
chr1|36081|URS00025A2A38|lncRNA|RNAcentral|https://rnacentral.org/downloads|34554|9606
chr1|36081|URS00025D25C3|lncRNA|RNAcentral|https://rnacentral.org/downloads|34554|9606
chr1|36267|URS0002A5EF9E|lncRNA|RNAcentral|https://rnacentral.org/downloads|34554|9606
chr1|36081|URS0000311D9A|lncRNA|RNAcentral|https://rnacentral.org/downloads|34610|9606
chr1|36050|URS000253779D|sRNA|RNAcentral|https://rnacentral.org/downloads|34611|9606
chr1|36077|URS000256B0FE|sRNA|RNAcentral|https://rnacentral.org/downloads|34611|9606
chr1|36081|URS0000311D9A|lncRNA|RNAcentral|https://rnacentral.org/downloads|34611|9606
chr1|37492|URS0002A205D3|lncRNA|RNAcentral|https://rnacentral.org/downloads|34613|9606
chr1|37492|URS0002A29AC6|lncRNA|RNAcentral|https://rnacentral.org/downloads|34613|9606
chr1|37523|URS0002A4BCF2|lncRNA|RNAcentral|https://rnacentral.org/downloads|34613|9606
chr1|37515|URS0002A2CE9E|lncRNA|RNAcentral|https://rnacentral.org/downloads|34618|9606
chr1|37487|URS000254A85C|sRNA|RNAcentral|https://rnacentral.org/downloads|34705|9606
chr1|36088|URS0002515AA0|sRNA|RNAcentral|https://rnacentral.org/downloads|35182|9606
chr1|36073|URS0000162D42|lncRNA|RNAcentral|https://rnacentral.org/downloads|35244|9606
chr1|36073|URS0000162D42|lncRNA|RNAcentral|https://rnacentral.org/downloads|35245|9606
chr1|36073|URS000253968E|lncRNA|RNAcentral|https://rnacentral.org/downloads|35245|9606
chr1|50281|URS00008B4AC7|lncRNA|RNAcentral|https://rnacentral.org/downloads|36272|9606
chr1|50281|URS00008B4AC7|lncRNA|RNAcentral|https://rnacentral.org/downloads|36273|9606
chr1|40778|URS0002A42B42|lncRNA|RNAcentral|https://rnacentral.org/downloads|36526|9606
chr1|50392|URS0001BEA552|lncRNA|RNAcentral|https://rnacentral.org/downloads|50105|9606
chr1|63526|URS0002A52595|lncRNA|RNAcentral|https://rnacentral.org/downloads|51891|9606
chr1|53959|URS0002341B5D|lncRNA|RNAcentral|https://rnacentral.org/downloads|51943|9606
chr1|64116|URS0002617EE4|lncRNA|RNAcentral|https://rnacentral.org/downloads|57598|9606
chr1|63887|URS00008C0F11|lncRNA|RNAcentral|https://rnacentral.org/downloads|62947|9606
chr1|64484|URS000027D32E|piRNA|RNAcentral|https://rnacentral.org/downloads|64457|9606
chr1|72750|URS00003CC116|piRNA|RNAcentral|https://rnacentral.org/downloads|72723|9606
chr1|74655|URS0000452BB7|piRNA|RNAcentral|https://rnacentral.org/downloads|74625|9606
chr1|75095|URS000018437A|piRNA|RNAcentral|https://rnacentral.org/downloads|75069|9606
chr1|75464|URS0000306613|piRNA|RNAcentral|https://rnacentral.org/downloads|75435|9606
chr1|79261|URS0000EBC353|lncRNA|RNAcentral|https://rnacentral.org/downloads|77506|9606
chr1|80968|URS00008BBCDD|lncRNA|RNAcentral|https://rnacentral.org/downloads|79413|9606
chr1|80968|URS00008BBCDD|lncRNA|RNAcentral|https://rnacentral.org/downloads|79414|9606
chr1|90896|URS0002588312|sRNA|RNAcentral|https://rnacentral.org/downloads|87522|9606
chr1|88370|URS0000163A27|piRNA|RNAcentral|https://rnacentral.org/downloads|88344|9606
chr1|89234|URS0000259A09|piRNA|RNAcentral|https://rnacentral.org/downloads|89209|9606
chr1|120932|URS00001749C0|lncRNA|RNAcentral|https://rnacentral.org/downloads|89294|9606
chr1|268126|URS00008B7797|lncRNA|RNAcentral|https://rnacentral.org/downloads|89294|9606
chr1|120932|URS00001749C0|lncRNA|RNAcentral|https://rnacentral.org/downloads|89295|9606
chr1|120932|URS000222E1D6|lncRNA|RNAcentral|https://rnacentral.org/downloads|89295|9606
chr1|133723|URS000225CDDE|lncRNA|RNAcentral|https://rnacentral.org/downloads|89295|9606
chr1|133723|URS0002263FBA|lncRNA|RNAcentral|https://rnacentral.org/downloads|89295|9606
chr1|133723|URS0002274784|lncRNA|RNAcentral|https://rnacentral.org/downloads|89295|9606
chr1|91105|URS000018FD5A|lncRNA|RNAcentral|https://rnacentral.org/downloads|89550|9606
chr1|91105|URS000018FD5A|lncRNA|RNAcentral|https://rnacentral.org/downloads|89551|9606
chr1|181207|URS0002A545F3|lncRNA|RNAcentral|https://rnacentral.org/downloads|91177|9606
chr1|827506|URS0000D5BF25|lncRNA|RNAcentral|https://rnacentral.org/downloads|91420|9606
chr1|181151|URS0002A28C87|lncRNA|RNAcentral|https://rnacentral.org/downloads|91491|9606
chr1|181161|URS0002A22CF2|lncRNA|RNAcentral|https://rnacentral.org/downloads|92213|9606
chr1|129217|URS00001831BD|lncRNA|RNAcentral|https://rnacentral.org/downloads|92229|9606
chr1|129217|URS00001831BD|lncRNA|RNAcentral|https://rnacentral.org/downloads|92230|9606
chr1|107727|URS0002343FBF|lncRNA|RNAcentral|https://rnacentral.org/downloads|96600|9606
chr1|105742|URS0002A1EABC|lncRNA|RNAcentral|https://rnacentral.org/downloads|96638|9606
chr1|98569|URS0002A532A6|lncRNA|RNAcentral|https://rnacentral.org/downloads|96638|9606
chr1|97511|URS0002A6FCA1|lncRNA|RNAcentral|https://rnacentral.org/downloads|96710|9606
chr1|181155|URS0002A639D7|lncRNA|RNAcentral|https://rnacentral.org/downloads|97161|9606
chr1|107727|URS000233A785|lncRNA|RNAcentral|https://rnacentral.org/downloads|99332|9606
chr1|107727|URS000233E84B|lncRNA|RNAcentral|https://rnacentral.org/downloads|99332|9606
chr1|181224|URS0002A5C12B|lncRNA|RNAcentral|https://rnacentral.org/downloads|100655|9606
chr1|104552|URS00002A58DB|piRNA|RNAcentral|https://rnacentral.org/downloads|104526|9606
chr1|181194|URS0002A3BC7B|lncRNA|RNAcentral|https://rnacentral.org/downloads|108856|9606
chr1|181095|URS0002A44085|lncRNA|RNAcentral|https://rnacentral.org/downloads|108863|9606
chr1|181204|URS0002A3E766|lncRNA|RNAcentral|https://rnacentral.org/downloads|108863|9606
chr1|129173|URS000016DBAE|lncRNA|RNAcentral|https://rnacentral.org/downloads|110952|9606
chr1|129173|URS000016DBAE|lncRNA|RNAcentral|https://rnacentral.org/downloads|110953|9606
chr1|133723|URS0002248C4C|lncRNA|RNAcentral|https://rnacentral.org/downloads|110953|9606
chr1|112732|URS00003A40ED|piRNA|RNAcentral|https://rnacentral.org/downloads|112704|9606
chr1|116054|URS000257495D|sRNA|RNAcentral|https://rnacentral.org/downloads|115039|9606
chr1|116054|URS00025C379C|lncRNA|RNAcentral|https://rnacentral.org/downloads|115039|9606
chr1|181204|URS0002A5C8A7|lncRNA|RNAcentral|https://rnacentral.org/downloads|120213|9606
chr1|181156|URS0002A384F6|lncRNA|RNAcentral|https://rnacentral.org/downloads|120378|9606
chr1|181223|URS0002A15D4D|lncRNA|RNAcentral|https://rnacentral.org/downloads|120493|9606
chr1|181196|URS0002A1FB19|lncRNA|RNAcentral|https://rnacentral.org/downloads|120521|9606
chr1|133723|URS0000A7AB64|lncRNA|RNAcentral|https://rnacentral.org/downloads|120724|9606
chr1|133723|URS00009BB8C9|lncRNA|RNAcentral|https://rnacentral.org/downloads|120725|9606
chr1|133723|URS0000A7AB64|lncRNA|RNAcentral|https://rnacentral.org/downloads|120725|9606
chr1|181219|URS0002A57346|lncRNA|RNAcentral|https://rnacentral.org/downloads|120869|9606
chr1|181156|URS0002A38854|lncRNA|RNAcentral|https://rnacentral.org/downloads|120877|9606
chr1|181190|URS0002A5215A|lncRNA|RNAcentral|https://rnacentral.org/downloads|120877|9606
chr1|133566|URS00001036E3|lncRNA|RNAcentral|https://rnacentral.org/downloads|129080|9606
chr1|133566|URS00001036E3|lncRNA|RNAcentral|https://rnacentral.org/downloads|129081|9606
chr1|130202|URS00008B8FD4|lncRNA|RNAcentral|https://rnacentral.org/downloads|129652|9606
chr1|130202|URS00008B8FD4|lncRNA|RNAcentral|https://rnacentral.org/downloads|129653|9606
chr1|130286|URS000312E437|SRP_RNA|RNAcentral|https://rnacentral.org/downloads|130133|9606
chr1|134836|URS00008C288E|lncRNA|RNAcentral|https://rnacentral.org/downloads|131024|9606
chr1|131270|URS000008C187|piRNA|RNAcentral|https://rnacentral.org/downloads|131243|9606
chr1|139570|URS00009AEFA4|lncRNA|RNAcentral|https://rnacentral.org/downloads|131336|9606
chr1|136694|URS00009BA8E5|lncRNA|RNAcentral|https://rnacentral.org/downloads|132670|9606
chr1|136694|URS00009BA8E5|lncRNA|RNAcentral|https://rnacentral.org/downloads|132671|9606
chr1|132918|URS000055320C|piRNA|RNAcentral|https://rnacentral.org/downloads|132891|9606
chr1|133571|URS00001B4DD1|piRNA|RNAcentral|https://rnacentral.org/downloads|133544|9606
chr1|134756|URS00001AB772|piRNA|RNAcentral|https://rnacentral.org/downloads|134730|9606
chr1|140566|URS000075A49B|lncRNA|RNAcentral|https://rnacentral.org/downloads|134772|9606
chr1|136246|URS0002A1AB4F|lncRNA|RNAcentral|https://rnacentral.org/downloads|134914|9606
chr1|135895|URS0000D5A08F|lncRNA|RNAcentral|https://rnacentral.org/downloads|135140|9606
chr1|135717|URS0000355AFB|piRNA|RNAcentral|https://rnacentral.org/downloads|135688|9606
chr1|135765|URS00003F3FB7|piRNA|RNAcentral|https://rnacentral.org/downloads|135736|9606
chr1|135765|URS0000228B60|piRNA|RNAcentral|https://rnacentral.org/downloads|135737|9606
chr1|135765|URS000048F3D1|piRNA|RNAcentral|https://rnacentral.org/downloads|135739|9606
chr1|135780|URS0000478F14|piRNA|RNAcentral|https://rnacentral.org/downloads|135741|9606
chr1|140566|URS00008C3B88|lncRNA|RNAcentral|https://rnacentral.org/downloads|136697|9606
chr1|137343|URS00001D2055|piRNA|RNAcentral|https://rnacentral.org/downloads|137313|9606
chr1|139689|URS0000D57DC8|lncRNA|RNAcentral|https://rnacentral.org/downloads|137536|9606
chr1|137965|URS0000D5B0B1|lncRNA|RNAcentral|https://rnacentral.org/downloads|137681|9606
chr1|137755|URS00002727D9|piRNA|RNAcentral|https://rnacentral.org/downloads|137724|9606
chr1|137755|URS00004EDD78|piRNA|RNAcentral|https://rnacentral.org/downloads|137724|9606
chr1|137768|URS00001B21AB|piRNA|RNAcentral|https://rnacentral.org/downloads|137738|9606
chr1|137867|URS000002B8C3|piRNA|RNAcentral|https://rnacentral.org/downloads|137838|9606
chr1|139228|URS0000D5BEE0|lncRNA|RNAcentral|https://rnacentral.org/downloads|137838|9606
chr1|137871|URS00004DAFBF|piRNA|RNAcentral|https://rnacentral.org/downloads|137841|9606
chr1|137871|URS000007DC40|piRNA|RNAcentral|https://rnacentral.org/downloads|137843|9606
chr1|137874|URS000059B18D|piRNA|RNAcentral|https://rnacentral.org/downloads|137848|9606
chr1|138393|URS00004D9C53|piRNA|RNAcentral|https://rnacentral.org/downloads|138363|9606
chr1|138393|URS00000935AA|piRNA|RNAcentral|https://rnacentral.org/downloads|138364|9606
chr1|138443|URS00000F1A08|piRNA|RNAcentral|https://rnacentral.org/downloads|138414|9606
chr1|138452|URS0000521E3F|piRNA|RNAcentral|https://rnacentral.org/downloads|138423|9606
chr1|138452|URS00002EB1FE|piRNA|RNAcentral|https://rnacentral.org/downloads|138425|9606
chr1|138698|URS000060C794|piRNA|RNAcentral|https://rnacentral.org/downloads|138669|9606
chr1|138849|URS0000571057|piRNA|RNAcentral|https://rnacentral.org/downloads|138819|9606
chr1|138915|URS00003CCA7F|piRNA|RNAcentral|https://rnacentral.org/downloads|138886|9606
chr1|139791|URS00025167AC|sRNA|RNAcentral|https://rnacentral.org/downloads|138890|9606
chr1|139791|URS0002572074|lncRNA|RNAcentral|https://rnacentral.org/downloads|138890|9606
chr1|139014|URS00004AF873|piRNA|RNAcentral|https://rnacentral.org/downloads|138983|9606
chr1|139034|URS0000585F64|piRNA|RNAcentral|https://rnacentral.org/downloads|139004|9606
chr1|139196|URS000060C052|piRNA|RNAcentral|https://rnacentral.org/downloads|139170|9606
chr1|139228|URS00006191CB|piRNA|RNAcentral|https://rnacentral.org/downloads|139203|9606
chr1|139281|URS000036B040|piRNA|RNAcentral|https://rnacentral.org/downloads|139251|9606
chr1|139455|URS000022A44E|piRNA|RNAcentral|https://rnacentral.org/downloads|139425|9606
chr1|139528|URS00002D4601|piRNA|RNAcentral|https://rnacentral.org/downloads|139497|9606
chr1|139536|URS0000483710|piRNA|RNAcentral|https://rnacentral.org/downloads|139505|9606
chr1|139565|URS0000266545|piRNA|RNAcentral|https://rnacentral.org/downloads|139534|9606
chr1|139568|URS00003BA25C|piRNA|RNAcentral|https://rnacentral.org/downloads|139542|9606
chr1|140339|URS00000F2224|lncRNA|RNAcentral|https://rnacentral.org/downloads|139789|9606
chr1|140339|URS00000F2224|lncRNA|RNAcentral|https://rnacentral.org/downloads|139790|9606
chr1|139833|URS00000BFEA6|piRNA|RNAcentral|https://rnacentral.org/downloads|139805|9606
chr1|140371|URS0000555DA8|piRNA|RNAcentral|https://rnacentral.org/downloads|140345|9606
chr1|141082|URS00001A3DE4|piRNA|RNAcentral|https://rnacentral.org/downloads|141056|9606
chr1|149707|URS00008BA2BA|lncRNA|RNAcentral|https://rnacentral.org/downloads|141473|9606
chr1|149707|URS00008BA2BA|lncRNA|RNAcentral|https://rnacentral.org/downloads|141474|9606
chr1|149707|URS000224D31A|lncRNA|RNAcentral|https://rnacentral.org/downloads|141478|9606
chr1|146831|URS00008B58D4|lncRNA|RNAcentral|https://rnacentral.org/downloads|142807|9606
chr1|146831|URS00008B58D4|lncRNA|RNAcentral|https://rnacentral.org/downloads|142808|9606
chr1|143976|URS0000072D42|piRNA|RNAcentral|https://rnacentral.org/downloads|143949|9606
chr1|144199|URS000044DF63|piRNA|RNAcentral|https://rnacentral.org/downloads|144168|9606
chr1|145169|URS00000F7F3C|piRNA|RNAcentral|https://rnacentral.org/downloads|145142|9606
chr1|145754|URS00003667EF|piRNA|RNAcentral|https://rnacentral.org/downloads|145726|9606
chr1|146141|URS00001B5D53|piRNA|RNAcentral|https://rnacentral.org/downloads|146113|9606
chr1|173862|URS00008B5FEA|lncRNA|RNAcentral|https://rnacentral.org/downloads|146385|9606
chr1|173862|URS00008B5FEA|lncRNA|RNAcentral|https://rnacentral.org/downloads|146386|9606
chr1|199861|URS0002A64F91|lncRNA|RNAcentral|https://rnacentral.org/downloads|146386|9606
chr1|156130|URS0002558348|lncRNA|RNAcentral|https://rnacentral.org/downloads|148945|9606
chr1|149810|URS0000147935|piRNA|RNAcentral|https://rnacentral.org/downloads|149784|9606
chr1|151388|URS00008BD2F6|lncRNA|RNAcentral|https://rnacentral.org/downloads|150308|9606
chr1|151388|URS00008BD2F6|lncRNA|RNAcentral|https://rnacentral.org/downloads|150309|9606
chr1|151002|URS00000D512A|piRNA|RNAcentral|https://rnacentral.org/downloads|150977|9606
chr1|152711|URS00004B825B|piRNA|RNAcentral|https://rnacentral.org/downloads|152686|9606
chr1|153255|URS00005E0C40|piRNA|RNAcentral|https://rnacentral.org/downloads|153230|9606
chr1|163727|URS00008B5D3F|lncRNA|RNAcentral|https://rnacentral.org/downloads|154267|9606
chr1|155218|URS00000C5103|piRNA|RNAcentral|https://rnacentral.org/downloads|155191|9606
chr1|158630|URS00008B4ED5|lncRNA|RNAcentral|https://rnacentral.org/downloads|155751|9606
chr1|158630|URS00008B4ED5|lncRNA|RNAcentral|https://rnacentral.org/downloads|155752|9606
chr1|155831|URS000025781F|piRNA|RNAcentral|https://rnacentral.org/downloads|155803|9606
chr1|157886|URS000019E19C|snRNA|RNAcentral|https://rnacentral.org/downloads|157784|9606
chr1|161525|URS000062076E|lncRNA|RNAcentral|https://rnacentral.org/downloads|160445|9606
chr1|161525|URS000062076E|lncRNA|RNAcentral|https://rnacentral.org/downloads|160446|9606
chr1|161421|URS00005B3517|piRNA|RNAcentral|https://rnacentral.org/downloads|161393|9606
chr1|161429|URS00000B8153|piRNA|RNAcentral|https://rnacentral.org/downloads|161403|9606
chr1|163200|URS00000B6388|piRNA|RNAcentral|https://rnacentral.org/downloads|163172|9606
chr1|173864|URS00008C224E|lncRNA|RNAcentral|https://rnacentral.org/downloads|164404|9606
chr1|181192|URS0002A65A4F|lncRNA|RNAcentral|https://rnacentral.org/downloads|164572|9606
chr1|181130|URS0002A5E6EF|lncRNA|RNAcentral|https://rnacentral.org/downloads|164656|9606
chr1|181141|URS0002A4E454|lncRNA|RNAcentral|https://rnacentral.org/downloads|164709|9606
chr1|164784|URS00003B7688|piRNA|RNAcentral|https://rnacentral.org/downloads|164759|9606
chr1|181217|URS0002A531B2|lncRNA|RNAcentral|https://rnacentral.org/downloads|164870|9606
chr1|181155|URS0002A66A20|lncRNA|RNAcentral|https://rnacentral.org/downloads|165231|9606
chr1|181196|URS0002A48D92|lncRNA|RNAcentral|https://rnacentral.org/downloads|165263|9606
chr1|169210|URS0000EEBCA0|lncRNA|RNAcentral|https://rnacentral.org/downloads|165491|9606
chr1|181194|URS0002A18D8A|lncRNA|RNAcentral|https://rnacentral.org/downloads|165491|9606
chr1|181161|URS0002A5368F|lncRNA|RNAcentral|https://rnacentral.org/downloads|165695|9606
chr1|181203|URS0002A504AA|lncRNA|RNAcentral|https://rnacentral.org/downloads|165695|9606
chr1|181130|URS0002A18548|lncRNA|RNAcentral|https://rnacentral.org/downloads|165884|9606
chr1|168767|URS00008BE9B6|lncRNA|RNAcentral|https://rnacentral.org/downloads|165888|9606
chr1|168767|URS00008BE9B6|lncRNA|RNAcentral|https://rnacentral.org/downloads|165889|9606
chr1|181130|URS0002A313BB|lncRNA|RNAcentral|https://rnacentral.org/downloads|167117|9606
chr1|181190|URS0002A42496|lncRNA|RNAcentral|https://rnacentral.org/downloads|167117|9606
chr1|169240|URS0000EF0C23|lncRNA|RNAcentral|https://rnacentral.org/downloads|167129|9606
chr1|181127|URS0002A5BD23|lncRNA|RNAcentral|https://rnacentral.org/downloads|167843|9606
chr1|181141|URS0002A48B25|lncRNA|RNAcentral|https://rnacentral.org/downloads|167847|9606
chr1|181101|URS0002A35698|lncRNA|RNAcentral|https://rnacentral.org/downloads|167850|9606
chr1|181130|URS0002A34F99|lncRNA|RNAcentral|https://rnacentral.org/downloads|167910|9606
chr1|181125|URS0002A38CBD|lncRNA|RNAcentral|https://rnacentral.org/downloads|168081|9606
chr1|181719|URS0002A2FD32|lncRNA|RNAcentral|https://rnacentral.org/downloads|168081|9606
chr1|181130|URS0002A4274A|lncRNA|RNAcentral|https://rnacentral.org/downloads|168089|9606
chr1|168140|URS00002FCFC9|piRNA|RNAcentral|https://rnacentral.org/downloads|168111|9606
chr1|181198|URS0002A22942|lncRNA|RNAcentral|https://rnacentral.org/downloads|168573|9606
chr1|181714|URS0002A4C4CF|lncRNA|RNAcentral|https://rnacentral.org/downloads|168668|9606
chr1|181161|URS0002A34389|lncRNA|RNAcentral|https://rnacentral.org/downloads|168669|9606
chr1|169264|URS0001FE90AD|lncRNA|RNAcentral|https://rnacentral.org/downloads|169017|9606
chr1|181130|URS0002A2878D|lncRNA|RNAcentral|https://rnacentral.org/downloads|169029|9606
chr1|181203|URS0002A271A4|lncRNA|RNAcentral|https://rnacentral.org/downloads|173283|9606
chr1|180102|URS000233FC60|lncRNA|RNAcentral|https://rnacentral.org/downloads|176545|9606
chr1|181204|URS0002A5E8F7|lncRNA|RNAcentral|https://rnacentral.org/downloads|177124|9606
chr1|181157|URS0002A5B10C|lncRNA|RNAcentral|https://rnacentral.org/downloads|177128|9606
chr1|181161|URS0002A49364|lncRNA|RNAcentral|https://rnacentral.org/downloads|177128|9606
chr1|181200|URS0002A3E2AA|lncRNA|RNAcentral|https://rnacentral.org/downloads|177128|9606
chr1|181130|URS0002A2D2E3|lncRNA|RNAcentral|https://rnacentral.org/downloads|177130|9606
chr1|181130|URS0002A33C5E|lncRNA|RNAcentral|https://rnacentral.org/downloads|177130|9606
chr1|181130|URS0002A344B7|lncRNA|RNAcentral|https://rnacentral.org/downloads|177182|9606
chr1|181156|URS0002A4C83D|lncRNA|RNAcentral|https://rnacentral.org/downloads|177297|9606
chr1|181161|URS0002A1B33F|lncRNA|RNAcentral|https://rnacentral.org/downloads|177297|9606
chr1|181161|URS0002A2088D|lncRNA|RNAcentral|https://rnacentral.org/downloads|177297|9606
chr1|181130|URS0002A42E2E|lncRNA|RNAcentral|https://rnacentral.org/downloads|177311|9606
chr1|179346|URS000043ED4C|piRNA|RNAcentral|https://rnacentral.org/downloads|179319|9606
chr1|180936|URS000035F234|piRNA|RNAcentral|https://rnacentral.org/downloads|180908|9606
chr1|189623|URS00019A6210|lncRNA|RNAcentral|https://rnacentral.org/downloads|184921|9606
chr1|189623|URS0001C016E6|lncRNA|RNAcentral|https://rnacentral.org/downloads|184921|9606
chr1|296426|URS0001A132AA|lncRNA|RNAcentral|https://rnacentral.org/downloads|184921|9606
chr1|187958|URS00020584F7|lncRNA|RNAcentral|https://rnacentral.org/downloads|185045|9606
chr1|193978|URS00019C4102|lncRNA|RNAcentral|https://rnacentral.org/downloads|185045|9606
chr1|185178|URS00003B2E18|piRNA|RNAcentral|https://rnacentral.org/downloads|185151|9606
chr1|187913|URS000075C233|miRNA|RNAcentral|https://rnacentral.org/downloads|187891|9606
chr1|187958|URS000075A3E2|pre_miRNA|RNAcentral|https://rnacentral.org/downloads|187891|9606
chr1|187953|URS0000759D8E|miRNA|RNAcentral|https://rnacentral.org/downloads|187931|9606
chr1|189086|URS00002BB668|piRNA|RNAcentral|https://rnacentral.org/downloads|189059|9606
chr1|199866|URS0002A6F526|lncRNA|RNAcentral|https://rnacentral.org/downloads|199108|9606
chr1|199882|URS0002A1BC85|lncRNA|RNAcentral|https://rnacentral.org/downloads|199108|9606
chr1|201629|URS0002A68579|lncRNA|RNAcentral|https://rnacentral.org/downloads|199948|9606
chr1|201617|URS00025B0385|lncRNA|RNAcentral|https://rnacentral.org/downloads|200070|9606
chr1|203983|URS00023386ED|lncRNA|RNAcentral|https://rnacentral.org/downloads|200442|9606
chr1|201629|URS0002527F27|lncRNA|RNAcentral|https://rnacentral.org/downloads|200687|9606
chr1|201629|URS0002535F2B|lncRNA|RNAcentral|https://rnacentral.org/downloads|200783|9606
chr1|202680|URS00001F7750|piRNA|RNAcentral|https://rnacentral.org/downloads|202654|9606
chr1|206597|URS0002585DB8|lncRNA|RNAcentral|https://rnacentral.org/downloads|205070|9606
chr1|206566|URS00025B9B42|lncRNA|RNAcentral|https://rnacentral.org/downloads|205129|9606
chr1|206589|URS0002581C3A|sRNA|RNAcentral|https://rnacentral.org/downloads|205761|9606
chr1|264733|URS00005DE56B|lncRNA|RNAcentral|https://rnacentral.org/downloads|257863|9606
chr1|264733|URS00005DE56B|lncRNA|RNAcentral|https://rnacentral.org/downloads|257864|9606
chr1|268816|URS0002866949|lncRNA|RNAcentral|https://rnacentral.org/downloads|257913|9606
chr1|266080|URS0002A2E5BB|lncRNA|RNAcentral|https://rnacentral.org/downloads|258143|9606
chr1|268807|URS00000BF611|lncRNA|RNAcentral|https://rnacentral.org/downloads|258143|9606
