alternative_ids|id|synonym|term_name
|GO_1900557|"[""emericellamide anabolism"", ""emericellamide biosynthesis"", ""emericellamide formation"", ""emericellamide synthesis""]"|emericellamide biosynthetic process
|GO_0070157||mitochondrial prolyl-tRNA aminoacylation
|GO_0051665|"[""establishment and maintenance of membrane raft localization"", ""lipid raft localization"", ""membrane raft localisation""]"|membrane raft localization
|GO_1900981|"[""down regulation of acridizine biosynthesis"", ""down regulation of acridizine biosynthetic process"", ""down regulation of azophenylene biosynthesis"", ""down regulation of azophenylene biosynthetic process"", ""down regulation of dibenzo-p-diazine biosynthesis"", ""down regulation of dibenzo-p-diazine biosynthetic process"", ""down regulation of dibenzopyrazine biosynthesis"", ""down regulation of dibenzopyrazine biosynthetic process"", ""down-regulation of acridizine biosynthesis"", ""down-regulation of acridizine biosynthetic process"", ""down-regulation of azophenylene biosynthesis"", ""down-regulation of azophenylene biosynthetic process"", ""down-regulation of dibenzo-p-diazine biosynthesis"", ""down-regulation of dibenzo-p-diazine biosynthetic process"", ""down-regulation of dibenzopyrazine biosynthesis"", ""down-regulation of dibenzopyrazine biosynthetic process"", ""downregulation of acridizine biosynthesis"", ""downregulation of acridizine biosynthetic process"", ""downregulation of azophenylene biosynthesis"", ""downregulation of azophenylene biosynthetic process"", ""downregulation of dibenzo-p-diazine biosynthesis"", ""downregulation of dibenzo-p-diazine biosynthetic process"", ""downregulation of dibenzopyrazine biosynthesis"", ""downregulation of dibenzopyrazine biosynthetic process"", ""inhibition of acridizine biosynthesis"", ""inhibition of acridizine biosynthetic process"", ""inhibition of azophenylene biosynthesis"", ""inhibition of azophenylene biosynthetic process"", ""inhibition of dibenzo-p-diazine biosynthesis"", ""inhibition of dibenzo-p-diazine biosynthetic process"", ""inhibition of dibenzopyrazine biosynthesis"", ""inhibition of dibenzopyrazine biosynthetic process"", ""negative regulation of acridizine biosynthesis"", ""negative regulation of acridizine biosynthetic process"", ""negative regulation of azophenylene biosynthesis"", ""negative regulation of azophenylene biosynthetic process"", ""negative regulation of dibenzo-p-diazine biosynthesis"", ""negative regulation of dibenzo-p-diazine biosynthetic process"", ""negative regulation of dibenzopyrazine biosynthesis"", ""negative regulation of dibenzopyrazine biosynthetic process"", ""down regulation of phenazine biosynthetic process"", ""down-regulation of phenazine biosynthetic process"", ""downregulation of phenazine biosynthetic process""]"|negative regulation of phenazine biosynthetic process
|GO_0000353||formation of quadruple SL/U4/U5/U6 snRNP
|GO_1905711|"[""response to PE"", ""response to PtdEtn"", ""response to phosphatidyl(amino)ethanols"", ""response to phosphatidylethanolamines""]"|response to phosphatidylethanolamine
|GO_1901162|"[""primary amino compound anabolism"", ""primary amino compound biosynthesis"", ""primary amino compound formation"", ""primary amino compound synthesis""]"|primary amino compound biosynthetic process
|GO_0045895|"[""positive regulation of mating-type specific transcription, DNA-dependent"", ""up regulation of transcription, mating-type specific"", ""up-regulation of transcription, mating-type specific"", ""upregulation of transcription, mating-type specific""]"|positive regulation of mating-type specific transcription, DNA-templated
|GO_0080190||lateral growth
|GO_0030727|"[""germarium-derived female germline cyst formation""]"|germarium-derived female germ-line cyst formation
|GO_0070943|"[""neutrophil mediated killing of symbiont cell""]"|neutrophil-mediated killing of symbiont cell
|GO_0021639|"[""CH IV morphogenesis""]"|trochlear nerve morphogenesis
|GO_0051514|"[""down regulation of monopolar cell growth"", ""down-regulation of monopolar cell growth"", ""downregulation of monopolar cell growth""]"|negative regulation of monopolar cell growth
|GO_0048201|"[""plasma membrane to endosome targeting""]"|vesicle targeting, plasma membrane to endosome
|GO_0007134||meiotic telophase I
|GO_0170040|"[""proteinogenic amino acid breakdown"", ""proteinogenic amino acid catabolism"", ""proteinogenic amino acid degradation""]"|proteinogenic amino acid catabolic process
|GO_1901989|"[""activation of cell cycle transition"", ""positive regulation of cell cycle transition"", ""up regulation of cell cycle phase transition"", ""up regulation of cell cycle transition"", ""up-regulation of cell cycle phase transition"", ""up-regulation of cell cycle transition"", ""upregulation of cell cycle phase transition"", ""upregulation of cell cycle transition""]"|positive regulation of cell cycle phase transition
|GO_0033487|"[""pelargonidin 3-O-glucoside anabolism"", ""pelargonidin 3-O-glucoside biosynthesis"", ""pelargonidin 3-O-glucoside formation"", ""pelargonidin 3-O-glucoside synthesis""]"|pelargonidin 3-O-glucoside biosynthetic process
|GO_0045035|"[""sense organ precursor cell division""]"|sensory organ precursor cell division
|GO_0141091|"[""TGF-beta receptor superfamily signaling pathway"", ""TGF-beta receptor superfamily signalling pathway"", ""TGFbeta receptor superfamily signaling pathway"", ""TGFbeta receptor superfamily signalling pathway"", ""transforming growth factor beta receptor superfamily signalling pathway""]"|transforming growth factor beta receptor superfamily signaling pathway
|GO_0033080|"[""thymic T cell proliferation"", ""thymocyte cell proliferation"", ""thymocyte proliferation""]"|immature T cell proliferation in thymus
|GO_1903224|"[""regulation of endoderm cell differentiation""]"|regulation of endodermal cell differentiation
|GO_1903110||regulation of single-strand break repair via homologous recombination
|GO_0045185|"[""maintenance of protein localization""]"|maintenance of protein location
|GO_1904045||cellular response to aldosterone
|GO_0099047||clearance of foreign intracellular RNA
|GO_1903949|"[""up regulation of atrial cardiac muscle cell action potential"", ""up-regulation of atrial cardiac muscle cell action potential"", ""upregulation of atrial cardiac muscle cell action potential""]"|positive regulation of atrial cardiac muscle cell action potential
|GO_0014030||mesenchymal cell fate commitment
|GO_0032107||regulation of response to nutrient levels
|GO_1901161|"[""primary amino compound breakdown"", ""primary amino compound catabolism"", ""primary amino compound degradation""]"|primary amino compound catabolic process
|GO_0048857||neural nucleus development
|GO_0097241|"[""hemopoietic stem cell migration to bone marrow""]"|hematopoietic stem cell migration to bone marrow
|GO_0071570||cement gland development
"[""GO:0045376""]"|GO_0032699|"[""down regulation of interleukin-16 production"", ""down-regulation of interleukin-16 production"", ""downregulation of interleukin-16 production"", ""negative regulation of IL-16 production""]"|negative regulation of interleukin-16 production
|GO_0097089|"[""methyl-branched fatty acid metabolism""]"|methyl-branched fatty acid metabolic process
|GO_0000455||enzyme-directed rRNA pseudouridine synthesis
|GO_0009745|"[""sucrose mediated signalling""]"|sucrose mediated signaling
|GO_0042464||dosage compensation by hypoactivation of X chromosome
|GO_0043617||cellular response to sucrose starvation
|GO_0048056||R3/R4 cell differentiation
|GO_0141005||transposable element silencing by heterochromatin formation
|GO_1905382|"[""positive regulation of snRNA transcription from Pol II promoter"", ""positive regulation of snRNA transcription from RNA polymerase II promoter"", ""up regulation of snRNA transcription from Pol II promoter"", ""up regulation of snRNA transcription from RNA polymerase II promoter"", ""up-regulation of snRNA transcription from Pol II promoter"", ""up-regulation of snRNA transcription from RNA polymerase II promoter"", ""upregulation of snRNA transcription from Pol II promoter"", ""upregulation of snRNA transcription from RNA polymerase II promoter""]"|positive regulation of snRNA transcription by RNA polymerase II
|GO_0009850|"[""auxin metabolism""]"|auxin metabolic process
|GO_1901177|"[""lycopene anabolism"", ""lycopene biosynthesis"", ""lycopene formation"", ""lycopene synthesis""]"|lycopene biosynthetic process
|GO_0002485|"[""TAP-dependent antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway"", ""TAP-dependent endogenous peptide antigen processing and presentation via MHC class I via ER pathway"", ""endogenous peptide antigen processing and presentation via MHC class I via ER pathway, TAP-dependent""]"|antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent
|GO_0035043||male pronuclear envelope synthesis
|GO_0000303||response to superoxide
|GO_0106210|"[""culmorin anabolism"", ""culmorin biosynthesis"", ""culmorin formation"", ""culmorin synthesis""]"|culmorin biosynthetic process
|GO_0072595|"[""maintenance of protein localisation to organelle"", ""maintenance of protein localization to organelle""]"|maintenance of protein localization in organelle
|GO_0008213|"[""protein amino acid alkylation""]"|protein alkylation
|GO_0035435|"[""phosphate ion membrane transport""]"|phosphate ion transmembrane transport
|GO_1902815||N,N-diacetylchitobiose import
|GO_0010661||positive regulation of muscle cell apoptotic process
"[""GO:0048424""]"|GO_0048454|"[""sepal structural organisation""]"|sepal structural organization
|GO_0060127|"[""epsilon-acidophil differentiation"", ""lactotrope differentiation"", ""lactotroph differentiation"", ""lactotropic cell differentiation"", ""mammotrope differentiation"", ""mammotroph differentiation"", ""mammotrophic cell differentiation"", ""mammotropic cell differentiation""]"|prolactin secreting cell differentiation
|GO_0140231||anterograde axonal transport of neurotransmitter receptor complex
|GO_1900437||regulation of filamentous growth of a population of unicellular organisms in response to chemical stimulus
|GO_0070490|"[""Pup-protein conjugation"", ""pupylation""]"|protein pupylation
|GO_2000875|"[""negative regulation of glyoxylate bypass""]"|negative regulation of glyoxylate cycle
|GO_0051946|"[""regulation of glutamate uptake during transmission of nerve impulse"", ""regulation of L-glutamate reuptake"", ""regulation of L-glutamate uptake during transmission of nerve impulse"", ""regulation of glutamate reuptake"", ""regulation of glutamate uptake involved in conduction of nerve impulse""]"|regulation of glutamate uptake involved in transmission of nerve impulse
|GO_0060729|"[""epithelial structure maintenance of intestine"", ""maintenance of intestinal epithelium""]"|intestinal epithelial structure maintenance
|GO_0036306||embryonic heart tube elongation
|GO_0021703|"[""locus caeruleus development"", ""locus coeruleus development""]"|locus ceruleus development
|GO_0061145||lung smooth muscle development
|GO_2000544||regulation of endothelial cell chemotaxis to fibroblast growth factor
|GO_0120290|"[""stalled replication fork localization to nuclear periphery involved in replication fork processing""]"|stalled replication fork localization to nuclear periphery
|GO_0046455|"[""organosilicon breakdown"", ""organosilicon catabolism"", ""organosilicon degradation"", ""organosilicone catabolic process"", ""organosilicone catabolism""]"|organosilicon catabolic process
|GO_1903680|"[""sebocyte differentiation""]"|acinar cell of sebaceous gland differentiation
|GO_0097722|"[""sperm movement""]"|sperm motility
|GO_0062191|"[""GalXM biosynthetic process"", ""galactoxylomannan anabolism"", ""galactoxylomannan biosynthesis"", ""galactoxylomannan formation"", ""galactoxylomannan synthesis"", ""glucuronoxylomannogalactan biosynthetic process""]"|galactoxylomannan biosynthetic process
